Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Expected Points,Expected Points,Expected Points
Week,Day,Date,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,OT,Rec,Unnamed: 8_level_1,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Thu,September 10,8:40PM ET,boxscore,W,,1-0,,Pittsburgh Steelers,28.0,21.0,26.0,361.0,281.0,80.0,,23.0,464.0,330.0,134.0,1.0,20.02,-17.01,1.3
2,Sun,September 20,1:02PM ET,boxscore,W,,2-0,@,Buffalo Bills,40.0,32.0,28.0,507.0,451.0,56.0,2.0,23.0,349.0,189.0,160.0,3.0,6.15,-5.24,7.57
3,Sun,September 27,1:06PM ET,boxscore,W,,3-0,,Jacksonville Jaguars,51.0,17.0,35.0,471.0,346.0,125.0,,15.0,293.0,236.0,57.0,1.0,36.41,-0.6,-2.35
4,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
5,Sun,October 11,4:25PM ET,boxscore,W,,4-0,@,Dallas Cowboys,30.0,6.0,20.0,356.0,247.0,109.0,,18.0,289.0,187.0,102.0,2.0,7.94,15.25,-0.38
6,Sun,October 18,8:30PM ET,boxscore,W,,5-0,@,Indianapolis Colts,34.0,27.0,22.0,417.0,301.0,116.0,1.0,24.0,409.0,289.0,120.0,,11.67,-6.55,3.83
7,Sun,October 25,1:02PM ET,boxscore,W,,6-0,,New York Jets,30.0,23.0,20.0,353.0,337.0,16.0,,25.0,372.0,283.0,89.0,1.0,11.28,-10.33,3.42
8,Thu,October 29,8:26PM ET,boxscore,W,,7-0,,Miami Dolphins,36.0,7.0,24.0,437.0,342.0,95.0,,18.0,270.0,255.0,15.0,2.0,13.71,10.95,4.67
9,Sun,November 8,1:02PM ET,boxscore,W,,8-0,,Washington Redskins,27.0,10.0,27.0,460.0,299.0,161.0,2.0,16.0,250.0,213.0,37.0,2.0,12.06,7.34,-3.71
10,Sun,November 15,4:31PM ET,boxscore,W,,9-0,@,New York Giants,27.0,26.0,22.0,406.0,329.0,77.0,2.0,21.0,422.0,342.0,80.0,1.0,6.31,-10.17,6.92
11,Mon,November 23,8:30PM ET,boxscore,W,,10-0,,Buffalo Bills,20.0,13.0,18.0,356.0,271.0,85.0,1.0,16.0,319.0,225.0,94.0,1.0,1.75,1.49,3.36
12,Sun,November 29,8:30PM ET,boxscore,L,OT,10-1,@,Denver Broncos,24.0,30.0,16.0,301.0,262.0,39.0,1.0,23.0,433.0,254.0,179.0,1.0,-2.09,-6.8,1.42
13,Sun,December 6,4:25PM ET,boxscore,L,,10-2,,Philadelphia Eagles,28.0,35.0,27.0,427.0,324.0,103.0,2.0,15.0,248.0,120.0,128.0,1.0,0.42,2.29,-11.55
14,Sun,December 13,8:31PM ET,boxscore,W,,11-2,@,Houston Texans,27.0,6.0,18.0,313.0,197.0,116.0,1.0,7.0,189.0,102.0,87.0,1.0,3.18,23.12,-5.49
15,Sun,December 20,1:02PM ET,boxscore,W,,12-2,,Tennessee Titans,33.0,16.0,17.0,346.0,253.0,93.0,1.0,15.0,282.0,223.0,59.0,3.0,4.76,15.56,-4.63
16,Sun,December 27,1:02PM ET,boxscore,L,OT,12-3,@,New York Jets,20.0,26.0,16.0,284.0,221.0,63.0,1.0,24.0,428.0,285.0,143.0,1.0,2.18,-7.6,-0.48
17,Sun,January 3,1:02PM ET,boxscore,L,,12-4,@,Miami Dolphins,10.0,20.0,12.0,196.0,126.0,70.0,,20.0,438.0,342.0,96.0,,-8.91,-7.05,3.15
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Division,Sat,January 16,4:35PM ET,boxscore,W,,13-4,,Kansas City Chiefs,27.0,20.0,21.0,340.0,302.0,38.0,,27.0,378.0,243.0,135.0,1.0,12.79,-6.75,1.22
Conf. Champ.,Sun,January 24,3:05PM ET,boxscore,L,,13-5,@,Denver Broncos,18.0,20.0,20.0,336.0,292.0,44.0,2.0,12.0,244.0,145.0,99.0,1.0,-11.95,11.11,-3.99
