Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Expected Points,Expected Points,Expected Points
Week,Day,Date,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,OT,Rec,Unnamed: 8_level_1,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 8,8:20PM ET,boxscore,W,,1-0,,Pittsburgh Steelers,33.0,3.0,24.0,465.0,366.0,99.0,,15.0,308.0,276.0,32.0,1.0,18.24,9.5,-0.8
2,Sun,September 15,1:00PM ET,boxscore,W,,2-0,@,Miami Dolphins,43.0,0.0,27.0,379.0,255.0,124.0,1.0,11.0,184.0,142.0,42.0,4.0,14.12,35.44,-12.05
3,Sun,September 22,1:00PM ET,boxscore,W,,3-0,,New York Jets,30.0,14.0,21.0,381.0,313.0,68.0,2.0,6.0,105.0,69.0,36.0,1.0,1.65,26.43,-9.81
4,Sun,September 29,1:00PM ET,boxscore,W,,4-0,@,Buffalo Bills,16.0,10.0,11.0,224.0,150.0,74.0,1.0,23.0,375.0,240.0,135.0,4.0,-14.59,12.71,6.09
5,Sun,October 6,1:00PM ET,boxscore,W,,5-0,@,Washington Redskins,33.0,7.0,23.0,442.0,312.0,130.0,1.0,11.0,223.0,78.0,145.0,2.0,9.23,20.78,-6.54
6,Thu,October 10,8:20PM ET,boxscore,W,,6-0,,New York Giants,35.0,14.0,27.0,427.0,313.0,114.0,2.0,10.0,213.0,161.0,52.0,4.0,-0.69,24.29,1.1
7,Mon,October 21,8:15PM ET,boxscore,W,,7-0,@,New York Jets,33.0,0.0,22.0,323.0,249.0,74.0,1.0,12.0,154.0,73.0,81.0,6.0,2.21,28.37,1.82
8,Sun,October 27,4:25PM ET,boxscore,W,,8-0,,Cleveland Browns,27.0,13.0,19.0,318.0,239.0,79.0,,15.0,310.0,151.0,159.0,3.0,4.62,19.38,-7.91
9,Sun,November 3,8:20PM ET,boxscore,L,,8-1,@,Baltimore Ravens,20.0,37.0,22.0,342.0,268.0,74.0,2.0,26.0,372.0,162.0,210.0,2.0,-5.25,-14.46,5.09
10,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
11,Sun,November 17,4:25PM ET,boxscore,W,,9-1,@,Philadelphia Eagles,17.0,10.0,19.0,298.0,224.0,74.0,,21.0,255.0,174.0,81.0,1.0,-4.83,9.17,0.43
12,Sun,November 24,4:25PM ET,boxscore,W,,10-1,,Dallas Cowboys,13.0,9.0,17.0,282.0,181.0,101.0,,16.0,321.0,212.0,109.0,1.0,-7.59,7.56,4.62
13,Sun,December 1,8:20PM ET,boxscore,L,,10-2,@,Houston Texans,22.0,28.0,29.0,448.0,303.0,145.0,1.0,16.0,276.0,224.0,52.0,,9.51,-10.32,-6.77
14,Sun,December 8,4:25PM ET,boxscore,L,,10-3,,Kansas City Chiefs,16.0,23.0,17.0,278.0,184.0,94.0,1.0,20.0,346.0,271.0,75.0,2.0,-5.79,1.14,-1.25
15,Sun,December 15,1:00PM ET,boxscore,W,,11-3,@,Cincinnati Bengals,34.0,13.0,19.0,291.0,116.0,175.0,,19.0,315.0,151.0,164.0,5.0,2.27,12.48,6.29
16,Sat,December 21,4:30PM ET,boxscore,W,,12-3,,Buffalo Bills,24.0,17.0,23.0,414.0,271.0,143.0,1.0,14.0,268.0,176.0,92.0,,6.06,0.45,-0.88
17,Sun,December 29,1:00PM ET,boxscore,L,,12-4,,Miami Dolphins,24.0,27.0,18.0,352.0,217.0,135.0,2.0,26.0,389.0,326.0,63.0,,6.29,-13.34,4.09
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Wild Card,Sat,January 4,8:15PM ET,boxscore,L,,12-5,,Tennessee Titans,13.0,20.0,18.0,307.0,209.0,98.0,2.0,19.0,272.0,71.0,201.0,1.0,-0.84,-2.83,-0.2
