Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Expected Points,Expected Points,Expected Points
Week,Day,Date,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,OT,Rec,Unnamed: 8_level_1,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 8,1:02PM ET,boxscore,W,,1-0,@,Buffalo Bills,23.0,21.0,26.0,431.0,273.0,158.0,3.0,15.0,286.0,150.0,136.0,2.0,-8.67,8.3,0.96
2,Thu,September 12,8:29PM ET,boxscore,W,,2-0,,New York Jets,13.0,10.0,9.0,232.0,178.0,54.0,,15.0,318.0,189.0,129.0,4.0,-16.53,20.4,2.25
3,Sun,September 22,1:02PM ET,boxscore,W,,3-0,,Tampa Bay Buccaneers,23.0,3.0,21.0,358.0,202.0,156.0,1.0,18.0,323.0,226.0,97.0,1.0,4.05,11.23,2.25
4,Sun,September 29,8:30PM ET,boxscore,W,,4-0,@,Atlanta Falcons,30.0,23.0,21.0,448.0,316.0,132.0,,26.0,457.0,399.0,58.0,1.0,15.86,-10.26,-0.71
5,Sun,October 6,1:02PM ET,boxscore,L,,4-1,@,Cincinnati Bengals,6.0,13.0,15.0,248.0,166.0,82.0,2.0,21.0,341.0,179.0,162.0,2.0,-11.63,5.28,0.4
6,Sun,October 13,4:25PM ET,boxscore,W,,5-1,,New Orleans Saints,30.0,27.0,26.0,376.0,235.0,141.0,1.0,20.0,361.0,230.0,131.0,2.0,-1.19,-4.55,3.36
7,Sun,October 20,1:03PM ET,boxscore,L,OT,5-2,@,New York Jets,27.0,30.0,21.0,295.0,205.0,90.0,1.0,27.0,383.0,206.0,177.0,1.0,-7.1,4.71,-0.42
8,Sun,October 27,1:02PM ET,boxscore,W,,6-2,,Miami Dolphins,27.0,17.0,19.0,252.0,100.0,152.0,1.0,23.0,301.0,145.0,156.0,3.0,0.94,1.22,7.15
9,Sun,November 3,4:25PM ET,boxscore,W,,7-2,,Pittsburgh Steelers,55.0,31.0,33.0,610.0,413.0,197.0,1.0,24.0,479.0,371.0,108.0,3.0,33.33,-3.89,-4.45
10,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
11,Mon,November 18,8:42PM ET,boxscore,L,,7-3,@,Carolina Panthers,20.0,24.0,28.0,390.0,283.0,107.0,2.0,20.0,300.0,197.0,103.0,,13.91,-17.75,0.63
12,Sun,November 24,8:30PM ET,boxscore,W,OT,8-3,,Denver Broncos,34.0,31.0,27.0,440.0,324.0,116.0,3.0,28.0,412.0,132.0,280.0,4.0,-7.4,-0.53,12.8
13,Sun,December 1,1:02PM ET,boxscore,W,,9-3,@,Houston Texans,34.0,31.0,28.0,453.0,365.0,88.0,1.0,19.0,385.0,264.0,121.0,1.0,17.29,-11.24,-1.17
14,Sun,December 8,1:02PM ET,boxscore,W,,10-3,,Cleveland Browns,27.0,26.0,30.0,484.0,397.0,87.0,2.0,24.0,494.0,386.0,108.0,,12.46,-16.98,5.85
15,Sun,December 15,1:02PM ET,boxscore,L,,10-4,@,Miami Dolphins,20.0,24.0,29.0,453.0,357.0,96.0,1.0,20.0,378.0,289.0,89.0,1.0,15.26,-11.98,-5.68
16,Sun,December 22,4:25PM ET,boxscore,W,,11-4,@,Baltimore Ravens,41.0,7.0,21.0,300.0,158.0,142.0,,19.0,358.0,237.0,121.0,4.0,5.89,24.64,2.98
17,Sun,December 29,4:25PM ET,boxscore,W,,12-4,,Buffalo Bills,34.0,20.0,24.0,382.0,115.0,267.0,1.0,19.0,393.0,224.0,169.0,,8.99,-1.47,7.8
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Division,Sat,January 11,8:15PM ET,boxscore,W,,13-4,,Indianapolis Colts,43.0,22.0,23.0,419.0,185.0,234.0,,16.0,386.0,317.0,69.0,4.0,18.81,7.19,-4.92
Conf. Champ.,Sun,January 19,3:06PM ET,boxscore,L,,13-5,@,Denver Broncos,16.0,26.0,19.0,320.0,256.0,64.0,,27.0,507.0,400.0,107.0,,9.06,-23.4,1.34
