Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Expected Points,Expected Points,Expected Points
Week,Day,Date,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,OT,Rec,Unnamed: 8_level_1,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 12,4:25PM ET,boxscore,L,,0-1,,Miami Dolphins,16.0,17.0,24.0,393.0,268.0,125.0,2.0,16.0,259.0,185.0,74.0,1.0,5.75,0.74,-6.05
2,Sun,September 19,1:00PM ET,boxscore,W,,1-1,@,New York Jets,25.0,6.0,17.0,260.0,159.0,101.0,,18.0,336.0,184.0,152.0,4.0,0.24,12.66,3.52
3,Sun,September 26,1:00PM ET,boxscore,L,,1-2,,New Orleans Saints,13.0,28.0,16.0,300.0,251.0,49.0,3.0,19.0,252.0,110.0,142.0,,-16.39,-3.67,5.4
4,Sun,October 3,8:20PM ET,boxscore,L,,1-3,,Tampa Bay Buccaneers,17.0,19.0,20.0,294.0,295.0,-1.0,2.0,22.0,381.0,261.0,120.0,,0.96,-5.45,2.94
5,Sun,October 10,1:00PM ET,boxscore,W,,2-3,@,Houston Texans,25.0,22.0,21.0,352.0,226.0,126.0,2.0,14.0,360.0,293.0,67.0,1.0,6.89,-13.76,8.6
6,Sun,October 17,4:25PM ET,boxscore,L,OT,2-4,,Dallas Cowboys,29.0,35.0,17.0,335.0,215.0,120.0,2.0,32.0,567.0,445.0,122.0,2.0,0.65,-9.87,0.9
7,Sun,October 24,1:00PM ET,boxscore,W,,3-4,,New York Jets,54.0,13.0,32.0,551.0,403.0,148.0,,18.0,299.0,237.0,62.0,3.0,37.61,5.92,0.06
8,Sun,October 31,4:05PM ET,boxscore,W,,4-4,@,Los Angeles Chargers,27.0,24.0,21.0,352.0,210.0,142.0,1.0,17.0,369.0,206.0,163.0,2.0,-1.47,-1.35,9.98
9,Sun,November 7,1:00PM ET,boxscore,W,,5-4,@,Carolina Panthers,24.0,6.0,17.0,273.0,122.0,151.0,2.0,13.0,240.0,162.0,78.0,3.0,-3.56,26.35,-5.26
10,Sun,November 14,1:00PM ET,boxscore,W,,6-4,,Cleveland Browns,45.0,7.0,30.0,452.0,268.0,184.0,,17.0,217.0,118.0,99.0,1.0,31.28,9.48,-2.69
11,Thu,November 18,8:20PM ET,boxscore,W,,7-4,@,Atlanta Falcons,25.0,0.0,20.0,308.0,174.0,134.0,1.0,11.0,165.0,125.0,40.0,4.0,-0.69,25.53,2.44
12,Sun,November 28,1:00PM ET,boxscore,W,,8-4,,Tennessee Titans,36.0,13.0,23.0,394.0,289.0,105.0,,18.0,355.0,85.0,270.0,4.0,16.62,2.23,4.08
13,Mon,December 6,8:15PM ET,boxscore,W,,9-4,@,Buffalo Bills,14.0,10.0,11.0,241.0,19.0,222.0,1.0,16.0,230.0,131.0,99.0,1.0,-1.79,7.94,-0.85
14,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
15,Sat,December 18,8:20PM ET,boxscore,L,,9-5,@,Indianapolis Colts,17.0,27.0,20.0,365.0,284.0,81.0,2.0,15.0,275.0,49.0,226.0,1.0,-2.77,-3.63,-4.16
16,Sun,December 26,1:00PM ET,boxscore,L,,9-6,,Buffalo Bills,21.0,33.0,20.0,288.0,139.0,149.0,2.0,28.0,428.0,314.0,114.0,,9.37,-19.09,1.08
17,Sun,January 2,1:00PM ET,boxscore,W,,10-6,,Jacksonville Jaguars,50.0,10.0,32.0,471.0,290.0,181.0,,11.0,253.0,173.0,80.0,3.0,32.81,11.33,-3.4
18,Sun,January 9,1:00PM ET,boxscore,L,,10-7,@,Miami Dolphins,24.0,33.0,21.0,379.0,245.0,134.0,3.0,23.0,298.0,103.0,195.0,,1.93,-9.83,-8.66
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Wild Card,Sat,January 15,8:15PM ET,boxscore,L,,10-8,@,Buffalo Bills,17.0,47.0,20.0,305.0,216.0,89.0,2.0,29.0,482.0,308.0,174.0,,9.53,-40.37,1.53
