Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Expected Points,Expected Points,Expected Points
Week,Day,Date,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,OT,Rec,Unnamed: 8_level_1,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 9,1:00PM ET,boxscore,W,,1-0,,Houston Texans,27.0,20.0,23.0,389.0,267.0,122.0,3.0,21.0,325.0,158.0,167.0,2.0,4.29,8.05,-6.85
2,Sun,September 16,4:25PM ET,boxscore,L,,1-1,@,Jacksonville Jaguars,20.0,31.0,18.0,302.0,220.0,82.0,1.0,27.0,480.0,376.0,104.0,2.0,2.13,-18.76,4.44
3,Sun,September 23,8:20PM ET,boxscore,L,,1-2,@,Detroit Lions,10.0,26.0,12.0,209.0,120.0,89.0,1.0,25.0,414.0,255.0,159.0,1.0,-5.39,-13.69,2.81
4,Sun,September 30,1:00PM ET,boxscore,W,,2-2,,Miami Dolphins,38.0,7.0,26.0,449.0,274.0,175.0,2.0,11.0,172.0,116.0,56.0,2.0,21.55,12.47,-6.26
5,Thu,October 4,8:20PM ET,boxscore,W,,3-2,,Indianapolis Colts,38.0,24.0,26.0,438.0,341.0,97.0,2.0,26.0,439.0,355.0,84.0,3.0,13.9,-2.15,2.13
6,Sun,October 14,8:20PM ET,boxscore,W,,4-2,,Kansas City Chiefs,43.0,40.0,31.0,500.0,327.0,173.0,1.0,18.0,446.0,352.0,94.0,2.0,21.54,-10.83,-8.17
7,Sun,October 21,1:00PM ET,boxscore,W,,5-2,@,Chicago Bears,38.0,31.0,21.0,381.0,273.0,108.0,3.0,29.0,453.0,319.0,134.0,2.0,9.37,-16.6,5.66
8,Mon,October 29,8:15PM ET,boxscore,W,,6-2,@,Buffalo Bills,25.0,6.0,22.0,387.0,311.0,76.0,,16.0,333.0,287.0,46.0,2.0,3.65,20.65,-6.52
9,Sun,November 4,8:20PM ET,boxscore,W,,7-2,,Green Bay Packers,31.0,17.0,28.0,433.0,310.0,123.0,,22.0,367.0,250.0,117.0,1.0,17.14,-4.92,3.52
10,Sun,November 11,1:00PM ET,boxscore,L,,7-3,@,Tennessee Titans,10.0,34.0,16.0,284.0,244.0,40.0,,23.0,385.0,235.0,150.0,,-5.76,-14.31,-2.47
11,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
12,Sun,November 25,1:00PM ET,boxscore,W,,8-3,@,New York Jets,27.0,13.0,25.0,498.0,283.0,215.0,,18.0,338.0,264.0,74.0,1.0,20.44,-1.72,-2.45
13,Sun,December 2,4:25PM ET,boxscore,W,,9-3,,Minnesota Vikings,24.0,10.0,27.0,471.0,311.0,160.0,1.0,16.0,278.0,183.0,95.0,2.0,16.1,9.14,-4.16
14,Sun,December 9,1:00PM ET,boxscore,L,,9-4,@,Miami Dolphins,33.0,34.0,28.0,421.0,344.0,77.0,,20.0,412.0,223.0,189.0,,21.02,-19.73,-0.46
15,Sun,December 16,4:25PM ET,boxscore,L,,9-5,@,Pittsburgh Steelers,10.0,17.0,18.0,368.0,272.0,96.0,1.0,24.0,376.0,218.0,158.0,2.0,1.66,-10.75,3.18
16,Sun,December 23,1:00PM ET,boxscore,W,,10-5,,Buffalo Bills,24.0,12.0,20.0,390.0,117.0,273.0,3.0,14.0,289.0,217.0,72.0,3.0,-6.39,16.9,2.11
17,Sun,December 30,1:00PM ET,boxscore,W,,11-5,,New York Jets,38.0,3.0,24.0,375.0,244.0,131.0,,12.0,239.0,135.0,104.0,3.0,12.41,29.0,-5.46
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Division,Sun,January 13,1:05PM ET,boxscore,W,,12-5,,Los Angeles Chargers,41.0,28.0,30.0,498.0,343.0,155.0,,22.0,335.0,316.0,19.0,2.0,24.01,-11.48,4.22
Conf. Champ.,Sun,January 20,6:40PM ET,boxscore,W,OT,13-5,@,Kansas City Chiefs,37.0,31.0,36.0,524.0,348.0,176.0,2.0,18.0,290.0,249.0,41.0,,19.31,-14.41,1.94
SuperBowl,Sun,February 3,6:30PM ET,boxscore,W,,14-5,N,Los Angeles Rams,13.0,3.0,22.0,407.0,253.0,154.0,1.0,14.0,260.0,198.0,62.0,1.0,2.46,11.82,-4.34
