Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Expected Points,Expected Points,Expected Points
Week,Day,Date,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,OT,Rec,Unnamed: 8_level_1,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 9,1:03PM ET,boxscore,W,,1-0,@,Tennessee Titans,34.0,13.0,25.0,390.0,228.0,162.0,,16.0,284.0,264.0,20.0,2.0,16.22,5.11,-1.32
2,Sun,September 16,1:02PM ET,boxscore,L,,1-1,,Arizona Cardinals,18.0,20.0,25.0,387.0,297.0,90.0,1.0,16.0,242.0,140.0,102.0,2.0,-2.82,9.41,-11.04
3,Sun,September 23,8:31PM ET,boxscore,L,,1-2,@,Baltimore Ravens,30.0,31.0,33.0,396.0,319.0,77.0,,28.0,503.0,382.0,121.0,1.0,17.99,-21.23,-0.02
4,Sun,September 30,1:02PM ET,boxscore,W,,2-2,@,Buffalo Bills,52.0,28.0,33.0,580.0,333.0,247.0,2.0,19.0,438.0,340.0,98.0,6.0,25.9,3.86,-6.88
5,Sun,October 7,4:25PM ET,boxscore,W,,3-2,,Denver Broncos,31.0,21.0,35.0,444.0,193.0,251.0,1.0,22.0,394.0,324.0,70.0,3.0,13.99,-6.34,0.99
6,Sun,October 14,4:04PM ET,boxscore,L,,3-3,@,Seattle Seahawks,23.0,24.0,26.0,475.0,388.0,87.0,2.0,17.0,368.0,283.0,85.0,2.0,7.79,-4.31,-1.97
7,Sun,October 21,4:25PM ET,boxscore,W,OT,4-3,,New York Jets,29.0,26.0,26.0,381.0,250.0,131.0,1.0,26.0,403.0,297.0,106.0,2.0,8.0,-4.9,6.07
8,Sun,October 28,1:06PM ET,boxscore,W,,5-3,@,St. Louis Rams,45.0,7.0,29.0,473.0,321.0,152.0,,17.0,326.0,219.0,107.0,2.0,32.61,8.19,-3.51
9,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
10,Sun,November 11,1:02PM ET,boxscore,W,,6-3,,Buffalo Bills,37.0,31.0,27.0,347.0,230.0,117.0,,35.0,481.0,319.0,162.0,3.0,21.52,-17.96,1.82
11,Sun,November 18,4:25PM ET,boxscore,W,,7-3,,Indianapolis Colts,59.0,24.0,25.0,446.0,331.0,115.0,,28.0,448.0,329.0,119.0,4.0,26.83,1.95,7.74
12,Thu,November 22,8:31PM ET,boxscore,W,,8-3,@,New York Jets,49.0,19.0,25.0,475.0,323.0,152.0,1.0,25.0,405.0,286.0,119.0,5.0,24.05,4.42,0.74
13,Sun,December 2,1:02PM ET,boxscore,W,,9-3,@,Miami Dolphins,23.0,16.0,25.0,321.0,213.0,108.0,1.0,15.0,277.0,176.0,101.0,1.0,0.35,6.58,1.26
14,Mon,December 10,8:40PM ET,boxscore,W,,10-3,,Houston Texans,42.0,14.0,27.0,419.0,289.0,130.0,1.0,19.0,323.0,223.0,100.0,1.0,20.98,6.13,-0.88
15,Sun,December 16,8:30PM ET,boxscore,L,,10-4,,San Francisco 49ers,34.0,41.0,32.0,520.0,425.0,95.0,4.0,19.0,388.0,208.0,180.0,2.0,-1.63,-1.99,-5.22
16,Sun,December 23,1:02PM ET,boxscore,W,,11-4,@,Jacksonville Jaguars,23.0,16.0,23.0,349.0,246.0,103.0,2.0,22.0,436.0,343.0,93.0,3.0,3.54,1.22,-0.4
17,Sun,December 30,4:25PM ET,boxscore,W,,12-4,,Miami Dolphins,28.0,0.0,28.0,443.0,276.0,167.0,,16.0,256.0,209.0,47.0,2.0,17.21,11.12,-1.74
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Division,Sun,January 13,4:40PM ET,boxscore,W,,13-4,,Houston Texans,41.0,28.0,24.0,457.0,335.0,122.0,,25.0,425.0,334.0,91.0,1.0,20.49,-9.61,-0.69
Conf. Champ.,Sun,January 20,6:40PM ET,boxscore,L,,13-5,,Baltimore Ravens,13.0,28.0,28.0,428.0,320.0,108.0,3.0,25.0,356.0,235.0,121.0,,0.89,-12.89,-1.67
