Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Expected Points,Expected Points,Expected Points
Week,Day,Date,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,OT,Rec,Unnamed: 8_level_1,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Mon,September 12,7:13PM ET,boxscore,W,,1-0,@,Miami Dolphins,38.0,24.0,27.0,622.0,516.0,106.0,1.0,25.0,488.0,390.0,98.0,1.0,24.68,-8.63,-2.84
2,Sun,September 18,4:15PM ET,boxscore,W,,2-0,,San Diego Chargers,35.0,21.0,28.0,504.0,410.0,94.0,,29.0,470.0,372.0,98.0,4.0,25.02,-10.24,0.56
3,Sun,September 25,1:03PM ET,boxscore,L,,2-1,@,Buffalo Bills,31.0,34.0,30.0,495.0,387.0,108.0,4.0,24.0,448.0,369.0,79.0,2.0,9.55,-9.66,-1.62
4,Sun,October 2,4:15PM ET,boxscore,W,,3-1,@,Oakland Raiders,31.0,19.0,25.0,409.0,226.0,183.0,,24.0,504.0,344.0,160.0,2.0,18.64,-9.46,4.46
5,Sun,October 9,4:15PM ET,boxscore,W,,4-1,,New York Jets,30.0,21.0,26.0,446.0,294.0,152.0,1.0,14.0,255.0,158.0,97.0,,15.34,-2.61,-3.21
6,Sun,October 16,4:15PM ET,boxscore,W,,5-1,,Dallas Cowboys,20.0,16.0,25.0,371.0,270.0,101.0,4.0,21.0,377.0,300.0,77.0,2.0,2.89,1.21,-1.61
7,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
8,Sun,October 30,4:15PM ET,boxscore,L,,5-2,@,Pittsburgh Steelers,17.0,25.0,19.0,213.0,170.0,43.0,,29.0,427.0,329.0,98.0,1.0,1.83,-10.61,-2.86
9,Sun,November 6,4:15PM ET,boxscore,L,,5-3,,New York Giants,20.0,24.0,23.0,438.0,332.0,106.0,4.0,23.0,361.0,250.0,111.0,2.0,0.1,-3.18,-0.9
10,Sun,November 13,8:31PM ET,boxscore,W,,6-3,@,New York Jets,37.0,16.0,21.0,389.0,329.0,60.0,,22.0,378.0,268.0,110.0,3.0,7.63,7.82,4.18
11,Mon,November 21,8:40PM ET,boxscore,W,,7-3,,Kansas City Chiefs,34.0,3.0,20.0,380.0,223.0,157.0,1.0,16.0,334.0,209.0,125.0,3.0,10.81,13.31,4.42
12,Sun,November 27,4:15PM ET,boxscore,W,,8-3,@,Philadelphia Eagles,38.0,20.0,29.0,457.0,353.0,104.0,,23.0,466.0,393.0,73.0,1.0,25.56,-8.06,2.6
13,Sun,December 4,1:02PM ET,boxscore,W,,9-3,,Indianapolis Colts,31.0,24.0,24.0,362.0,289.0,73.0,,26.0,437.0,338.0,99.0,2.0,17.29,-13.4,5.22
14,Sun,December 11,1:03PM ET,boxscore,W,,10-3,@,Washington Redskins,34.0,27.0,22.0,431.0,352.0,79.0,1.0,25.0,463.0,293.0,170.0,2.0,17.14,-13.23,2.16
15,Sun,December 18,4:16PM ET,boxscore,W,,11-3,@,Denver Broncos,41.0,23.0,26.0,451.0,310.0,141.0,,25.0,393.0,141.0,252.0,3.0,20.42,-0.94,2.16
16,Sat,December 24,1:02PM ET,boxscore,W,,12-3,,Miami Dolphins,27.0,24.0,26.0,400.0,281.0,119.0,,20.0,374.0,253.0,121.0,2.0,10.6,-6.57,-1.32
17,Sun,January 1,1:02PM ET,boxscore,W,,13-3,,Buffalo Bills,49.0,21.0,28.0,480.0,342.0,138.0,1.0,26.0,402.0,296.0,106.0,4.0,22.96,-2.1,4.16
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Division,Sat,January 14,8:15PM ET,boxscore,W,,14-3,,Denver Broncos,45.0,10.0,31.0,509.0,363.0,146.0,2.0,15.0,252.0,108.0,144.0,1.0,27.14,11.2,-2.48
Conf. Champ.,Sun,January 22,3:05PM ET,boxscore,W,,15-3,,Baltimore Ravens,23.0,20.0,25.0,330.0,234.0,96.0,3.0,19.0,398.0,282.0,116.0,1.0,5.91,-3.41,-1.42
SuperBowl,Sun,February 5,6:30PM ET,boxscore,L,,15-4,N,New York Giants,17.0,21.0,21.0,349.0,266.0,83.0,1.0,26.0,396.0,282.0,114.0,,10.62,-13.35,-1.39
