Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Expected Points,Expected Points,Expected Points
Week,Day,Date,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,OT,Rec,Unnamed: 8_level_1,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Thu,September 7,8:30PM ET,boxscore,L,,0-1,,Kansas City Chiefs,27.0,42.0,25.0,371.0,247.0,124.0,,26.0,537.0,352.0,185.0,1.0,5.92,-23.18,0.73
2,Sun,September 17,1:00PM ET,boxscore,W,,1-1,@,New Orleans Saints,36.0,20.0,29.0,555.0,436.0,119.0,,20.0,429.0,348.0,81.0,,27.58,-12.16,-2.32
3,Sun,September 24,1:00PM ET,boxscore,W,,2-1,,Houston Texans,36.0,33.0,21.0,396.0,337.0,59.0,1.0,23.0,417.0,292.0,125.0,2.0,11.52,-7.08,-1.48
4,Sun,October 1,1:00PM ET,boxscore,L,,2-2,,Carolina Panthers,30.0,33.0,24.0,373.0,293.0,80.0,,28.0,444.0,304.0,140.0,2.0,18.56,-24.18,2.62
5,Thu,October 5,8:25PM ET,boxscore,W,,3-2,@,Tampa Bay Buccaneers,19.0,14.0,23.0,402.0,289.0,113.0,2.0,26.0,409.0,319.0,90.0,,-0.71,-10.33,14.94
6,Sun,October 15,1:00PM ET,boxscore,W,,4-2,@,New York Jets,24.0,17.0,23.0,375.0,257.0,118.0,2.0,23.0,408.0,334.0,74.0,3.0,10.44,0.33,-2.19
7,Sun,October 22,8:30PM ET,boxscore,W,,5-2,,Atlanta Falcons,23.0,7.0,25.0,403.0,241.0,162.0,,21.0,343.0,223.0,120.0,,15.29,-6.18,6.42
8,Sun,October 29,1:00PM ET,boxscore,W,,6-2,,Los Angeles Chargers,21.0,13.0,27.0,414.0,317.0,97.0,,16.0,349.0,192.0,157.0,1.0,9.64,-8.46,5.7
9,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
10,Sun,November 12,8:30PM ET,boxscore,W,,7-2,@,Denver Broncos,41.0,16.0,28.0,396.0,297.0,99.0,,17.0,339.0,221.0,118.0,2.0,14.71,-3.58,13.56
11,Sun,November 19,4:25PM ET,boxscore,W,,8-2,@,Oakland Raiders,33.0,8.0,25.0,421.0,332.0,89.0,,21.0,344.0,235.0,109.0,2.0,23.44,-1.26,2.48
12,Sun,November 26,1:00PM ET,boxscore,W,,9-2,,Miami Dolphins,35.0,17.0,25.0,417.0,221.0,196.0,2.0,15.0,221.0,154.0,67.0,3.0,9.46,11.65,-4.69
13,Sun,December 3,1:00PM ET,boxscore,W,,10-2,@,Buffalo Bills,23.0,3.0,23.0,435.0,244.0,191.0,1.0,16.0,268.0,85.0,183.0,1.0,10.85,14.27,-2.35
14,Mon,December 11,8:30PM ET,boxscore,L,,10-3,@,Miami Dolphins,20.0,27.0,14.0,248.0,223.0,25.0,2.0,21.0,362.0,242.0,120.0,,-3.59,-7.02,2.39
15,Sun,December 17,4:25PM ET,boxscore,W,,11-3,@,Pittsburgh Steelers,27.0,24.0,21.0,360.0,283.0,77.0,1.0,21.0,413.0,270.0,143.0,1.0,15.3,-12.04,-0.66
16,Sun,December 24,1:00PM ET,boxscore,W,,12-3,,Buffalo Bills,37.0,16.0,28.0,411.0,218.0,193.0,1.0,17.0,326.0,242.0,84.0,,21.06,2.94,-0.79
17,Sun,December 31,1:00PM ET,boxscore,W,,13-3,,New York Jets,26.0,6.0,28.0,330.0,183.0,147.0,,14.0,247.0,207.0,40.0,,9.07,8.84,1.73
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Division,Sat,January 13,8:15PM ET,boxscore,W,,14-3,,Tennessee Titans,35.0,14.0,31.0,438.0,337.0,101.0,,15.0,267.0,202.0,65.0,,25.58,2.0,-7.65
Conf. Champ.,Sun,January 21,3:05PM ET,boxscore,W,,15-3,,Jacksonville Jaguars,24.0,20.0,22.0,344.0,298.0,46.0,1.0,22.0,374.0,273.0,101.0,,10.37,-3.55,-1.4
SuperBowl,Sun,February 4,6:30PM ET,boxscore,L,,15-4,N,Philadelphia Eagles,33.0,41.0,29.0,613.0,500.0,113.0,1.0,25.0,538.0,374.0,164.0,1.0,27.61,-29.26,-4.65
