Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Expected Points,Expected Points,Expected Points
Week,Day,Date,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,OT,Rec,Unnamed: 8_level_1,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 13,1:00PM ET,boxscore,W,,1-0,,Miami Dolphins,21.0,11.0,29.0,357.0,140.0,217.0,1.0,20.0,269.0,182.0,87.0,3.0,14.11,2.2,-5.64
2,Sun,September 20,8:20PM ET,boxscore,L,,1-1,@,Seattle Seahawks,30.0,35.0,29.0,464.0,397.0,67.0,1.0,22.0,429.0,275.0,154.0,1.0,19.82,-14.54,-6.98
3,Sun,September 27,1:00PM ET,boxscore,W,,2-1,,Las Vegas Raiders,36.0,20.0,25.0,406.0,156.0,250.0,1.0,22.0,375.0,249.0,126.0,3.0,11.03,-0.71,5.81
4,Mon,October 5,7:05PM ET,boxscore,L,,2-2,@,Kansas City Chiefs,10.0,26.0,21.0,357.0,172.0,185.0,4.0,19.0,323.0,229.0,94.0,1.0,-10.82,-5.72,3.78
5,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
6,Sun,October 18,1:00PM ET,boxscore,L,,2-3,,Denver Broncos,12.0,18.0,14.0,288.0,171.0,117.0,3.0,15.0,299.0,164.0,135.0,2.0,-13.3,6.67,1.59
7,Sun,October 25,4:25PM ET,boxscore,L,,2-4,,San Francisco 49ers,6.0,33.0,17.0,241.0,147.0,94.0,4.0,26.0,467.0,270.0,197.0,2.0,-9.49,-22.44,6.55
8,Sun,November 1,1:00PM ET,boxscore,L,,2-5,@,Buffalo Bills,21.0,24.0,20.0,349.0,161.0,188.0,1.0,22.0,339.0,149.0,190.0,1.0,8.26,-8.85,-0.85
9,Mon,November 9,8:15PM ET,boxscore,W,,3-5,@,New York Jets,30.0,27.0,30.0,433.0,274.0,159.0,,18.0,322.0,257.0,65.0,1.0,18.7,-18.71,2.16
10,Sun,November 15,8:20PM ET,boxscore,W,,4-5,,Baltimore Ravens,23.0,17.0,25.0,308.0,135.0,173.0,,19.0,357.0,242.0,115.0,1.0,13.95,-3.45,-1.86
11,Sun,November 22,1:00PM ET,boxscore,L,,4-6,@,Houston Texans,20.0,27.0,22.0,435.0,349.0,86.0,,21.0,399.0,344.0,55.0,,13.67,-15.69,-0.27
12,Sun,November 29,1:00PM ET,boxscore,W,,5-6,,Arizona Cardinals,20.0,17.0,16.0,179.0,69.0,110.0,2.0,23.0,298.0,160.0,138.0,1.0,-4.68,0.0,9.06
13,Sun,December 6,4:25PM ET,boxscore,W,,6-6,@,Los Angeles Chargers,45.0,0.0,22.0,291.0,126.0,165.0,,17.0,258.0,188.0,70.0,2.0,9.66,16.13,22.19
14,Thu,December 10,8:20PM ET,boxscore,L,,6-7,@,Los Angeles Rams,3.0,24.0,10.0,220.0,113.0,107.0,1.0,17.0,318.0,132.0,186.0,1.0,-29.77,-1.19,8.58
15,Sun,December 20,1:00PM ET,boxscore,L,,6-8,@,Miami Dolphins,12.0,22.0,18.0,303.0,186.0,117.0,1.0,26.0,383.0,133.0,250.0,1.0,-1.0,-16.71,6.16
16,Mon,December 28,8:15PM ET,boxscore,L,,6-9,,Buffalo Bills,9.0,38.0,11.0,201.0,56.0,145.0,,31.0,474.0,344.0,130.0,,-2.39,-26.17,1.1
17,Sun,January 3,1:00PM ET,boxscore,W,,7-9,,New York Jets,28.0,14.0,23.0,404.0,238.0,166.0,,21.0,350.0,239.0,111.0,2.0,18.13,-3.92,-0.05
