Opponent,Date,Week,Ref Crew,Outcome,Total Count,Total Yards,Off Count,Off Yards,Def Count,Def Yards,ST Count,ST Yards
Jacksonville,09/08/2013,1,Pete Morelli,Kansas City Chiefs 28 @ Jacksonville Jaguars 2,3,20,2,10,0,0,1,10
Dallas,09/15/2013,2,Jerome Boger,Dallas Cowboys 16 @ Kansas City Chiefs 17,10,45,5,25,2,10,3,10
Philadelphia,09/19/2013,3,Walt Anderson,Kansas City Chiefs 26 @ Philadelphia Eagles 16,9,65,7,45,2,20,0,0
N.Y. Giants,09/29/2013,4,Terry McAulay,New York Giants 7 @ Kansas City Chiefs 31,7,62,5,50,0,0,2,12
Tennessee,10/06/2013,5,Bill Vinovich,Kansas City Chiefs 26 @ Tennessee Titans 17,9,61,4,25,3,18,2,18
Oakland,10/13/2013,6,Mike Carey,Oakland Raiders 7 @ Kansas City Chiefs 24,4,20,2,10,1,5,1,5
Houston,10/20/2013,7,Ed Hochuli,Houston Texans 16 @ Kansas City Chiefs 17,5,24,3,11,1,5,1,8
Cleveland,10/27/2013,8,Clete Blakeman,Cleveland Browns 17 @ Kansas City Chiefs 23,5,31,2,15,1,5,2,11
Buffalo,11/03/2013,9,Ron Winter,Kansas City Chiefs 23 @ Buffalo Bills 13,5,38,3,23,2,15,0,0
Denver,11/17/2013,11,John Parry,Kansas City Chiefs 17 @ Denver Broncos 27,9,53,4,30,3,10,2,13
San Diego,11/24/2013,12,Walt Coleman,San Diego Chargers 41 @ Kansas City Chiefs 38,7,62,3,20,1,12,3,30
Denver,12/01/2013,13,Terry McAulay,Denver Broncos 35 @ Kansas City Chiefs 28,9,102,6,49,3,53,0,0
Washington,12/08/2013,14,Carl Cheffers,Kansas City Chiefs 45 @ Washington Redskins 10,3,30,1,10,2,20,0,0
Oakland,12/15/2013,15,Clete Blakeman,Kansas City Chiefs 56 @ Oakland Raiders 31,8,91,2,20,6,71,0,0
Indianapolis,12/22/2013,16,Tony Corrente,Indianapolis Colts 23 @ Kansas City Chiefs 7,7,65,3,25,4,40,0,0
San Diego,12/29/2013,17,Bill Leavy,Kansas City Chiefs 24 @ San Diego Chargers 27,1,5,0,0,1,5,0,0
Indianapolis,01/04/2014,Wildcard Weekend,Walt Anderson,Kansas City Chiefs 44 @ Indianapolis Colts 45,2,15,1,10,1,5,0,0
Totals,,,,,103,789,53,378,33,294,17,117
