Opponent,Date,Week,Ref Crew,Outcome,Total Count,Total Yards,Off Count,Off Yards,Def Count,Def Yards,ST Count,ST Yards
Indianapolis,09/12/2021,1.0,Tony Corrente,Seattle Seahawks 28 @ Indianapolis Colts 16,7,53,3,25,3,23,1,5
Tennessee,09/19/2021,2.0,John Hussey,Tennessee Titans 33 @ Seattle Seahawks 30,10,100,4,34,6,66,0,0
Minnesota,09/26/2021,3.0,Clay Martin,Seattle Seahawks 17 @ Minnesota Vikings 30,4,35,1,10,2,20,1,5
San Francisco,10/03/2021,4.0,Carl Cheffers,Seattle Seahawks 28 @ San Francisco 49ers 21,5,27,2,10,1,5,2,12
LA Rams,10/07/2021,5.0,Ron Torbert,Los Angeles Rams 26 @ Seattle Seahawks 17,3,20,3,20,0,0,0,0
Pittsburgh,10/17/2021,6.0,Shawn Smith,Seattle Seahawks 20 @ Pittsburgh Steelers 23,6,45,2,15,2,20,2,10
New Orleans,10/25/2021,7.0,Shawn Hochuli,New Orleans Saints 13 @ Seattle Seahawks 10,6,53,2,24,3,24,1,5
Jacksonville,10/31/2021,8.0,Adrian Hill,Jacksonville Jaguars 7 @ Seattle Seahawks 31,5,40,3,30,1,5,1,5
Green Bay,11/14/2021,10.0,Brad Allen,Seattle Seahawks 0 @ Green Bay Packers 17,5,39,1,10,4,29,0,0
Arizona,11/21/2021,11.0,Clete Blakeman,Arizona Cardinals 23 @ Seattle Seahawks 13,2,17,0,0,2,17,0,0
Washington,11/29/2021,12.0,Clay Martin,Seattle Seahawks 15 @ Washington Football Team 17,6,51,0,0,4,36,2,15
San Francisco,12/05/2021,13.0,Alex Kemp,San Francisco 49ers 23 @ Seattle Seahawks 30,6,40,3,20,0,0,3,20
Houston,12/12/2021,14.0,Adrian Hill,Seattle Seahawks 33 @ Houston Texans 13,8,69,2,15,2,11,4,43
LA Rams,12/21/2021,15.0,Shawn Hochuli,Seattle Seahawks 10 @ Los Angeles Rams 20,8,65,5,44,2,16,1,5
Chicago,12/26/2021,16.0,Carl Cheffers,Chicago Bears 25 @ Seattle Seahawks 24,7,88,4,26,3,62,0,0
Detroit,01/02/2022,17.0,Tony Corrente,Detroit Lions 29 @ Seattle Seahawks 51,5,31,1,5,3,16,1,10
Arizona,01/09/2022,18.0,Shawn Smith,Seattle Seahawks 38 @ Arizona Cardinals 30,4,30,1,10,2,10,1,10
Totals,,,,,97,803,37,298,40,360,20,145
