Opponent,Date,Week,Ref Crew,Outcome,Total Count,Total Yards,Off Count,Off Yards,Def Count,Def Yards,ST Count,ST Yards
Buffalo,09/12/2021,1,John Hussey,Pittsburgh Steelers 23 @ Buffalo Bills 16,5,32,3,22,2,10,0,0
Las Vegas,09/19/2021,2,Jerome Boger,Las Vegas Raiders 26 @ Pittsburgh Steelers 17,5,43,2,15,2,20,1,8
Cincinnati,09/26/2021,3,Clete Blakeman,Cincinnati Bengals 24 @ Pittsburgh Steelers 10,10,73,8,54,1,15,1,4
Green Bay,10/03/2021,4,Scott Novak,Pittsburgh Steelers 17 @ Green Bay Packers 27,5,34,2,15,1,6,2,13
Denver,10/10/2021,5,Brad Rogers,Denver Broncos 19 @ Pittsburgh Steelers 27,8,59,5,35,1,5,2,19
Seattle,10/17/2021,6,Shawn Smith,Seattle Seahawks 20 @ Pittsburgh Steelers 23,5,38,4,35,1,3,0,0
Cleveland,10/31/2021,8,Shawn Hochuli,Pittsburgh Steelers 15 @ Cleveland Browns 10,8,65,5,40,2,20,1,5
Chicago,11/08/2021,9,Tony Corrente,Chicago Bears 27 @ Pittsburgh Steelers 29,5,30,2,14,2,11,1,5
Detroit,11/14/2021,10,Land Clark,Detroit Lions 16 @ Pittsburgh Steelers 16,7,59,3,25,2,20,2,14
LA Chargers,11/21/2021,11,Carl Cheffers,Pittsburgh Steelers 37 @ Los Angeles Chargers 41,8,38,1,3,5,25,2,10
Cincinnati,11/28/2021,12,Bill Vinovich,Pittsburgh Steelers 10 @ Cincinnati Bengals 41,4,30,2,20,2,10,0,0
Baltimore,12/05/2021,13,Scott Novak,Baltimore Ravens 19 @ Pittsburgh Steelers 20,5,81,1,10,3,61,1,10
Minnesota,12/09/2021,14,Clete Blakeman,Pittsburgh Steelers 28 @ Minnesota Vikings 36,10,85,7,55,1,5,2,25
Tennessee,12/19/2021,15,Brad Rogers,Tennessee Titans 13 @ Pittsburgh Steelers 19,5,30,3,15,1,5,1,10
Kansas City,12/26/2021,16,Jerome Boger,Pittsburgh Steelers 10 @ Kansas City Chiefs 36,5,40,3,30,2,10,0,0
Cleveland,01/03/2022,17,Brad Allen,Cleveland Browns 14 @ Pittsburgh Steelers 26,5,51,1,5,2,26,2,20
Baltimore,01/09/2022,18,Shawn Hochuli,Pittsburgh Steelers 16 @ Baltimore Ravens 13,6,43,4,30,1,3,1,10
Kansas City,01/16/2022,Wildcard Weekend,Shawn Smith,Pittsburgh Steelers 21 @ Kansas City Chiefs 42,4,45,2,15,2,30,0,0
Totals,,,,,110,876,58,438,33,285,19,153
