Opponent,Date,Week,Ref Crew,Outcome,Total Count,Total Yards,Off Count,Off Yards,Def Count,Def Yards,ST Count,ST Yards
Baltimore,09/05/2013,1,Walt Coleman,Baltimore Ravens 27 @ Denver Broncos 49,8,61,5,35,3,26,0,0
N.Y. Giants,09/15/2013,2,Gene Steratore,Denver Broncos 41 @ New York Giants 23,13,132,2,15,10,110,1,7
Oakland,09/23/2013,3,Jerome Boger,Oakland Raiders 21 @ Denver Broncos 37,5,40,4,30,0,0,1,10
Philadelphia,09/29/2013,4,Pete Morelli,Philadelphia Eagles 20 @ Denver Broncos 52,2,25,1,15,0,0,1,10
Dallas,10/06/2013,5,Terry McAulay,Denver Broncos 51 @ Dallas Cowboys 48,5,55,4,35,1,20,0,0
Jacksonville,10/13/2013,6,Jeff Triplette,Jacksonville Jaguars 19 @ Denver Broncos 35,4,31,2,15,1,6,1,10
Indianapolis,10/20/2013,7,Carl Cheffers,Denver Broncos 33 @ Indianapolis Colts 39,12,103,4,23,4,39,4,41
Washington,10/27/2013,8,Ron Winter,Washington Redskins 21 @ Denver Broncos 45,6,57,1,10,3,35,2,12
San Diego,11/10/2013,10,Tony Corrente,Denver Broncos 28 @ San Diego Chargers 20,3,28,0,0,3,28,0,0
Kansas City,11/17/2013,11,John Parry,Kansas City Chiefs 17 @ Denver Broncos 27,13,82,3,20,9,56,1,6
New England,11/24/2013,12,Gene Steratore,Denver Broncos 31 @ New England Patriots 34,9,85,3,30,3,35,3,20
Kansas City,12/01/2013,13,Terry McAulay,Denver Broncos 35 @ Kansas City Chiefs 28,10,75,4,35,4,25,2,15
Tennessee,12/08/2013,14,Scott Green,Tennessee Titans 28 @ Denver Broncos 51,7,60,3,15,1,15,3,30
San Diego,12/12/2013,15,Bill Vinovich,San Diego Chargers 27 @ Denver Broncos 20,6,43,0,0,5,38,1,5
Houston,12/22/2013,16,Ed Hochuli,Denver Broncos 37 @ Houston Texans 13,8,67,6,45,1,15,1,7
Oakland,12/29/2013,17,Ron Winter,Denver Broncos 34 @ Oakland Raiders 14,6,56,3,25,3,31,0,0
San Diego,01/12/2014,Divisional Playoffs,Clete Blakeman,San Diego Chargers 17 @ Denver Broncos 24,6,50,3,20,2,20,1,10
New England,01/19/2014,Conference Championships,Tony Corrente,New England Patriots 16 @ Denver Broncos 26,4,34,3,29,1,5,0,0
Seattle,02/02/2014,Super Bowl,Terry McAulay,Seattle Seahawks 43 @ Denver Broncos 8,5,44,4,40,1,4,0,0
Totals,,,,,132,1128,55,437,55,508,22,183
