Opponent,Date,Week,Ref Crew,Outcome,Total Count,Total Yards,Off Count,Off Yards,Def Count,Def Yards,ST Count,ST Yards
Baltimore,09/08/2019,1.0,Jerome Boger,Baltimore Ravens 59 @ Miami Dolphins 10,9,64,3,20,5,34,1,10
New England,09/15/2019,2.0,Bill Vinovich,New England Patriots 43 @ Miami Dolphins 0,4,22,1,10,3,12,0,0
Dallas,09/22/2019,3.0,Adrian Hill,Miami Dolphins 6 @ Dallas Cowboys 31,5,35,2,10,2,20,1,5
LA Chargers,09/29/2019,4.0,Tony Corrente,Los Angeles Chargers 30 @ Miami Dolphins 10,5,53,2,15,2,30,1,8
Washington,10/13/2019,6.0,Shawn Smith,Washington Redskins 17 @ Miami Dolphins 16,5,45,3,25,1,15,1,5
Buffalo,10/20/2019,7.0,Carl Cheffers,Miami Dolphins 21 @ Buffalo Bills 31,6,55,4,35,2,20,0,0
Pittsburgh,10/28/2019,8.0,Ron Torbert,Miami Dolphins 14 @ Pittsburgh Steelers 27,5,45,2,10,2,30,1,5
N.Y. Jets,11/03/2019,9.0,Walt Anderson,New York Jets 18 @ Miami Dolphins 26,6,51,3,29,3,22,0,0
Indianapolis,11/10/2019,10.0,Clay Martin,Miami Dolphins 16 @ Indianapolis Colts 12,4,30,3,25,0,0,1,5
Buffalo,11/17/2019,11.0,Scott Novak,Buffalo Bills 37 @ Miami Dolphins 20,6,44,2,15,2,10,2,19
Cleveland,11/24/2019,12.0,Brad Rogers,Miami Dolphins 24 @ Cleveland Browns 41,8,94,0,0,7,84,1,10
Philadelphia,12/01/2019,13.0,Adrian Hill,Philadelphia Eagles 31 @ Miami Dolphins 37,7,59,2,15,2,25,3,19
N.Y. Jets,12/08/2019,14.0,Craig Wrolstad,Miami Dolphins 21 @ New York Jets 22,5,48,2,20,3,28,0,0
N.Y. Giants,12/15/2019,15.0,Jerome Boger,Miami Dolphins 20 @ New York Giants 36,7,42,2,6,4,34,1,2
Cincinnati,12/22/2019,16.0,Brad Allen,Cincinnati Bengals 35 @ Miami Dolphins 38,6,47,1,10,4,27,1,10
New England,12/29/2019,17.0,Clay Martin,Miami Dolphins 27 @ New England Patriots 24,4,35,1,5,2,25,1,5
Totals,,,,,92,769,33,250,44,416,15,103
