Opponent,Date,Week,Ref Crew,Outcome,Total Count,Total Yards,Off Count,Off Yards,Def Count,Def Yards,ST Count,ST Yards
Cleveland,09/07/2014,1,Carl Cheffers,Cleveland Browns 27 @ Pittsburgh Steelers 30,11,96,3,25,4,30,4,41
Baltimore,09/11/2014,2,Ed Hochuli,Pittsburgh Steelers 6 @ Baltimore Ravens 26,9,75,3,20,5,53,1,2
Carolina,09/21/2014,3,Ron Torbert,Pittsburgh Steelers 37 @ Carolina Panthers 19,11,91,6,54,3,25,2,12
Tampa Bay,09/28/2014,4,Walt Anderson,Tampa Bay Buccaneers 27 @ Pittsburgh Steelers 24,13,125,5,45,5,55,3,25
Jacksonville,10/05/2014,5,Terry McAulay,Pittsburgh Steelers 17 @ Jacksonville Jaguars 9,7,50,3,20,1,5,3,25
Cleveland,10/12/2014,6,Pete Morelli,Pittsburgh Steelers 10 @ Cleveland Browns 31,6,42,1,15,3,17,2,10
Houston,10/20/2014,7,Walt Coleman,Houston Texans 23 @ Pittsburgh Steelers 30,6,38,2,7,3,26,1,5
Indianapolis,10/26/2014,8,John Parry,Indianapolis Colts 34 @ Pittsburgh Steelers 51,10,59,2,15,7,34,1,10
Baltimore,11/02/2014,9,Bill Vinovich,Baltimore Ravens 23 @ Pittsburgh Steelers 43,7,67,3,20,3,32,1,15
N.Y. Jets,11/09/2014,10,Terry McAulay,Pittsburgh Steelers 13 @ New York Jets 20,3,20,2,15,0,0,1,5
Tennessee,11/17/2014,11,Brad Allen,Pittsburgh Steelers 27 @ Tennessee Titans 24,4,39,1,5,1,15,2,19
New Orleans,11/30/2014,13,Pete Morelli,New Orleans Saints 35 @ Pittsburgh Steelers 32,5,28,3,20,2,8,0,0
Cincinnati,12/07/2014,14,Tony Corrente,Pittsburgh Steelers 42 @ Cincinnati Bengals 21,3,20,1,10,1,5,1,5
Atlanta,12/14/2014,15,Clete Blakeman,Pittsburgh Steelers 27 @ Atlanta Falcons 20,3,34,2,20,1,14,0,0
Kansas City,12/21/2014,16,Ron Torbert,Kansas City Chiefs 12 @ Pittsburgh Steelers 20,4,40,1,5,2,20,1,15
Cincinnati,12/28/2014,17,Ed Hochuli,Cincinnati Bengals 17 @ Pittsburgh Steelers 27,1,10,1,10,0,0,0,0
Baltimore,01/03/2015,Wildcard Weekend,Clete Blakeman,Baltimore Ravens 30 @ Pittsburgh Steelers 17,8,114,4,37,3,62,1,15
Totals,,,,,111,948,43,343,44,401,24,204
