Opponent,Date,Week,Ref Crew,Outcome,Total Count,Total Yards,Off Count,Off Yards,Def Count,Def Yards,ST Count,ST Yards
Carolina,09/08/2024,1.0,Alan Eck,Carolina Panthers 10 @ New Orleans Saints 47,10,95,5,45,3,25,2,25
Dallas,09/15/2024,2.0,Shawn Smith,New Orleans Saints 44 @ Dallas Cowboys 19,5,40,2,15,2,10,1,15
Philadelphia,09/22/2024,3.0,Scott Novak,Philadelphia Eagles 15 @ New Orleans Saints 12,3,25,2,20,1,5,0,0
Atlanta,09/29/2024,4.0,John Hussey,New Orleans Saints 24 @ Atlanta Falcons 26,6,60,5,30,1,30,0,0
Kansas City,10/07/2024,5.0,Brad Rogers,New Orleans Saints 13 @ Kansas City Chiefs 26,5,70,2,10,2,50,1,10
Tampa Bay,10/13/2024,6.0,Clete Blakeman,Tampa Bay Buccaneers 51 @ New Orleans Saints 27,7,70,2,20,5,50,0,0
Denver,10/17/2024,7.0,Land Clark,Denver Broncos 33 @ New Orleans Saints 10,5,35,3,25,1,5,1,5
LA Chargers,10/27/2024,8.0,Alan Eck,New Orleans Saints 8 @ Los Angeles Chargers 26,7,66,6,49,1,17,0,0
Carolina,11/03/2024,9.0,Ron Torbert,New Orleans Saints 22 @ Carolina Panthers 23,10,109,5,42,2,37,3,30
Atlanta,11/10/2024,10.0,Carl Cheffers,Atlanta Falcons 17 @ New Orleans Saints 20,8,76,4,36,4,40,0,0
Cleveland,11/17/2024,11.0,Alex Kemp,Cleveland Browns 14 @ New Orleans Saints 35,5,41,2,20,2,16,1,5
LA Rams,12/01/2024,13.0,Brad Allen,Los Angeles Rams 21 @ New Orleans Saints 14,4,38,2,20,2,18,0,0
N.Y. Giants,12/08/2024,14.0,Clete Blakeman,New Orleans Saints 14 @ New York Giants 11,6,40,3,15,1,5,2,20
Washington,12/15/2024,15.0,Shawn Hochuli,Washington Commanders 20 @ New Orleans Saints 19,4,36,2,15,0,0,2,21
Green Bay,12/23/2024,16.0,Alex Kemp,New Orleans Saints 0 @ Green Bay Packers 34,7,40,4,25,2,10,1,5
Las Vegas,12/29/2024,17.0,Land Clark,Las Vegas Raiders 25 @ New Orleans Saints 10,10,85,8,78,1,5,1,2
Tampa Bay,01/05/2025,18.0,Adrian Hill,New Orleans Saints 19 @ Tampa Bay Buccaneers 27,8,77,4,30,3,42,1,5
Totals,,,,,110,1003,61,495,33,365,16,143
