Opponent,Date,Week,Ref Crew,Outcome,Total Count,Total Yards,Off Count,Off Yards,Def Count,Def Yards,ST Count,ST Yards
Kansas City,09/11/2022,1.0,Scott Novak,Kansas City Chiefs 44 @ Arizona Cardinals 21,5,49,1,5,4,44,0,0
Las Vegas,09/18/2022,2.0,Clete Blakeman,Arizona Cardinals 29 @ Las Vegas Raiders 23,12,120,7,50,4,60,1,10
LA Rams,09/25/2022,3.0,Adrian Hill,Los Angeles Rams 20 @ Arizona Cardinals 12,6,50,5,40,0,0,1,10
Carolina,10/02/2022,4.0,John Hussey,Arizona Cardinals 26 @ Carolina Panthers 16,7,61,6,50,0,0,1,11
Philadelphia,10/09/2022,5.0,Tra Blake,Philadelphia Eagles 20 @ Arizona Cardinals 17,2,15,2,15,0,0,0,0
Seattle,10/16/2022,6.0,Shawn Hochuli,Arizona Cardinals 9 @ Seattle Seahawks 19,6,53,3,20,2,20,1,13
New Orleans,10/20/2022,7.0,Jerome Boger,New Orleans Saints 34 @ Arizona Cardinals 42,4,20,3,15,1,5,0,0
Minnesota,10/30/2022,8.0,Brad Allen,Arizona Cardinals 26 @ Minnesota Vikings 34,10,67,4,37,5,21,1,9
Seattle,11/06/2022,9.0,Carl Cheffers,Seattle Seahawks 31 @ Arizona Cardinals 21,12,77,6,30,4,27,2,20
LA Rams,11/13/2022,10.0,Clete Blakeman,Arizona Cardinals 27 @ Los Angeles Rams 17,10,67,4,32,4,20,2,15
San Francisco,11/21/2022,11.0,Craig Wrolstad,San Francisco 49ers 38 @ Arizona Cardinals 10,5,50,2,20,1,15,2,15
LA Chargers,11/27/2022,12.0,Ron Torbert,Los Angeles Chargers 25 @ Arizona Cardinals 24,3,19,2,14,0,0,1,5
New England,12/12/2022,14.0,Shawn Smith,New England Patriots 27 @ Arizona Cardinals 13,8,48,6,30,1,14,1,4
Denver,12/18/2022,15.0,Jerome Boger,Arizona Cardinals 15 @ Denver Broncos 24,7,46,5,36,2,10,0,0
Tampa Bay,12/25/2022,16.0,John Hussey,Tampa Bay Buccaneers 19 @ Arizona Cardinals 16,6,74,4,29,1,30,1,15
Atlanta,01/01/2023,17.0,Alex Kemp,Arizona Cardinals 19 @ Atlanta Falcons 20,8,50,4,30,4,20,0,0
San Francisco,01/08/2023,18.0,Adrian Hill,Arizona Cardinals 13 @ San Francisco 49ers 38,7,50,4,30,2,10,1,10
Totals,,,,,118,916,68,483,35,296,15,137
