Opponent,Date,Week,Ref Crew,Outcome,Total Count,Total Yards,Off Count,Off Yards,Def Count,Def Yards,ST Count,ST Yards
Detroit,09/11/2011,1.0,Walt Anderson,Detroit Lions 27 @ Tampa Bay Buccaneers 20,6,39,0,0,5,34,1,5
Minnesota,09/18/2011,2.0,Jeff Triplette,Tampa Bay Buccaneers 24 @ Minnesota Vikings 20,6,53,4,25,1,23,1,5
Atlanta,09/25/2011,3.0,Clete Blakeman,Atlanta Falcons 13 @ Tampa Bay Buccaneers 16,9,66,3,30,3,16,3,20
Indianapolis,10/03/2011,4.0,Ron Winter,Indianapolis Colts 17 @ Tampa Bay Buccaneers 24,14,106,8,75,4,21,2,10
San Francisco,10/09/2011,5.0,Terry McAulay,Tampa Bay Buccaneers 3 @ San Francisco 49ers 48,9,96,2,20,5,47,2,29
New Orleans,10/16/2011,6.0,Jerome Boger,New Orleans Saints 20 @ Tampa Bay Buccaneers 26,7,64,4,38,2,16,1,10
Chicago,10/23/2011,7.0,Tony Corrente,Chicago Bears 24 @ Tampa Bay Buccaneers 18,8,69,6,50,2,19,0,0
New Orleans,11/06/2011,9.0,Carl Cheffers,Tampa Bay Buccaneers 16 @ New Orleans Saints 27,9,80,7,60,1,5,1,15
Houston,11/13/2011,10.0,John Parry,Houston Texans 37 @ Tampa Bay Buccaneers 9,6,49,4,40,2,9,0,0
Green Bay,11/20/2011,11.0,Al Riveron,Tampa Bay Buccaneers 26 @ Green Bay Packers 35,9,55,1,10,6,35,2,10
Tennessee,11/27/2011,12.0,Bill Leavy,Tampa Bay Buccaneers 17 @ Tennessee Titans 23,4,30,3,25,1,5,0,0
Carolina,12/04/2011,13.0,Gene Steratore,Carolina Panthers 38 @ Tampa Bay Buccaneers 19,9,73,1,10,7,53,1,10
Jacksonville,12/11/2011,14.0,Jerome Boger,Tampa Bay Buccaneers 14 @ Jacksonville Jaguars 41,12,97,5,41,6,51,1,5
Dallas,12/17/2011,15.0,Terry McAulay,Dallas Cowboys 31 @ Tampa Bay Buccaneers 15,6,46,3,26,3,20,0,0
Carolina,12/24/2011,16.0,Carl Cheffers,Tampa Bay Buccaneers 16 @ Carolina Panthers 48,7,64,4,35,2,14,1,15
Atlanta,01/01/2012,17.0,Scott Green,Tampa Bay Buccaneers 24 @ Atlanta Falcons 45,2,20,1,5,1,15,0,0
Totals,,,,,123,1007,56,490,51,383,16,134
