Opponent,Date,Week,Ref Crew,Outcome,Total Count,Total Yards,Off Count,Off Yards,Def Count,Def Yards,ST Count,ST Yards
Tennessee,09/10/2017,1.0,Jerome Boger,Oakland Raiders 26 @ Tennessee Titans 16,5,49,2,20,2,20,1,9
N.Y. Jets,09/17/2017,2.0,Jeff Triplette,New York Jets 20 @ Oakland Raiders 45,9,79,3,19,3,35,3,25
Washington,09/24/2017,3.0,Tony Corrente,Oakland Raiders 10 @ Washington Redskins 27,4,35,4,35,0,0,0,0
Denver,10/01/2017,4.0,John Parry,Oakland Raiders 10 @ Denver Broncos 16,7,75,5,30,1,30,1,15
Baltimore,10/08/2017,5.0,Brad Allen,Baltimore Ravens 30 @ Oakland Raiders 17,3,24,2,20,1,4,0,0
LA Chargers,10/15/2017,6.0,Clete Blakeman,Los Angeles Chargers 17 @ Oakland Raiders 16,5,40,4,30,0,0,1,10
Kansas City,10/19/2017,7.0,Craig Wrolstad,Kansas City Chiefs 30 @ Oakland Raiders 31,10,97,6,64,2,20,2,13
Buffalo,10/29/2017,8.0,Ed Hochuli,Oakland Raiders 14 @ Buffalo Bills 34,6,50,1,10,2,15,3,25
Miami,11/05/2017,9.0,Terry McAulay,Oakland Raiders 27 @ Miami Dolphins 24,10,105,5,45,4,50,1,10
New England,11/19/2017,11.0,John Hussey,New England Patriots 33 @ Oakland Raiders 8,8,66,4,36,4,30,0,0
Denver,11/26/2017,12.0,Walt Anderson,Denver Broncos 14 @ Oakland Raiders 21,7,68,5,43,1,15,1,10
N.Y. Giants,12/03/2017,13.0,Pete Morelli,New York Giants 17 @ Oakland Raiders 24,6,42,2,10,4,32,0,0
Kansas City,12/10/2017,14.0,Carl Cheffers,Oakland Raiders 15 @ Kansas City Chiefs 26,7,39,5,29,2,10,0,0
Dallas,12/17/2017,15.0,Gene Steratore,Dallas Cowboys 20 @ Oakland Raiders 17,14,105,6,42,3,13,5,50
Philadelphia,12/25/2017,16.0,Ron Torbert,Oakland Raiders 10 @ Philadelphia Eagles 19,7,50,5,40,2,10,0,0
LA Chargers,12/31/2017,17.0,Ed Hochuli,Oakland Raiders 10 @ Los Angeles Chargers 30,6,85,3,30,2,45,1,10
Totals,,,,,114,1009,62,503,33,329,19,177
