Opponent,Date,Week,Ref Crew,Outcome,Total Count,Total Yards,Off Count,Off Yards,Def Count,Def Yards,ST Count,ST Yards
Minnesota,09/08/2019,1.0,Bill Vinovich,Atlanta Falcons 12 @ Minnesota Vikings 28,9,78,3,25,5,48,1,5
Philadelphia,09/15/2019,2.0,Brad Allen,Philadelphia Eagles 20 @ Atlanta Falcons 24,10,58,4,19,3,20,3,19
Indianapolis,09/22/2019,3.0,Alex Kemp,Atlanta Falcons 24 @ Indianapolis Colts 27,16,128,6,55,9,58,1,15
Tennessee,09/29/2019,4.0,John Hussey,Tennessee Titans 24 @ Atlanta Falcons 10,7,50,3,30,4,20,0,0
Houston,10/06/2019,5.0,Shawn Smith,Atlanta Falcons 32 @ Houston Texans 53,7,63,5,45,2,18,0,0
Arizona,10/13/2019,6.0,Carl Cheffers,Atlanta Falcons 33 @ Arizona Cardinals 34,8,72,3,20,2,20,3,32
LA Rams,10/20/2019,7.0,Ron Torbert,Los Angeles Rams 37 @ Atlanta Falcons 10,5,48,2,20,1,15,2,13
Seattle,10/27/2019,8.0,Clete Blakeman,Seattle Seahawks 27 @ Atlanta Falcons 20,5,40,5,40,0,0,0,0
New Orleans,11/10/2019,10.0,Brad Allen,Atlanta Falcons 26 @ New Orleans Saints 9,7,48,5,35,1,8,1,5
Carolina,11/17/2019,11.0,Adrian Hill,Atlanta Falcons 29 @ Carolina Panthers 3,3,20,3,20,0,0,0,0
Tampa Bay,11/24/2019,12.0,Clay Martin,Tampa Bay Buccaneers 35 @ Atlanta Falcons 22,7,60,5,40,1,5,1,15
New Orleans,11/28/2019,13.0,Shawn Smith,New Orleans Saints 26 @ Atlanta Falcons 18,4,18,2,8,1,5,1,5
Carolina,12/08/2019,14.0,Clete Blakeman,Carolina Panthers 20 @ Atlanta Falcons 40,6,58,2,15,1,34,3,9
San Francisco,12/15/2019,15.0,Craig Wrolstad,Atlanta Falcons 29 @ San Francisco 49ers 22,11,98,6,50,2,30,3,18
Jacksonville,12/22/2019,16.0,Adrian Hill,Jacksonville Jaguars 12 @ Atlanta Falcons 24,9,64,5,33,3,23,1,8
Tampa Bay,12/29/2019,17.0,Carl Cheffers,Atlanta Falcons 28 @ Tampa Bay Buccaneers 22,5,53,1,5,1,33,3,15
Totals,,,,,119,956,60,460,36,337,23,159
