Opponent,Date,Week,Ref Crew,Outcome,Total Count,Total Yards,Off Count,Off Yards,Def Count,Def Yards,ST Count,ST Yards
Atlanta,09/06/2018,1,John Hussey,Atlanta Falcons 12 @ Philadelphia Eagles 18,11,101,2,20,4,29,5,52
Tampa Bay,09/16/2018,2,Alex Kemp,Philadelphia Eagles 21 @ Tampa Bay Buccaneers 27,6,55,4,40,1,5,1,10
Indianapolis,09/23/2018,3,Clay Martin,Indianapolis Colts 16 @ Philadelphia Eagles 20,10,110,5,35,2,51,3,24
Tennessee,09/30/2018,4,Shawn Hochuli,Philadelphia Eagles 23 @ Tennessee Titans 26,8,77,4,35,3,29,1,13
Minnesota,10/07/2018,5,Walt Coleman,Minnesota Vikings 23 @ Philadelphia Eagles 21,8,52,7,40,1,12,0,0
N.Y. Giants,10/11/2018,6,Ron Torbert,Philadelphia Eagles 34 @ New York Giants 13,4,25,2,15,2,10,0,0
Carolina,10/21/2018,7,Clete Blakeman,Carolina Panthers 21 @ Philadelphia Eagles 17,4,35,4,35,0,0,0,0
Jacksonville,10/28/2018,8,John Hussey,Philadelphia Eagles 24 @ Jacksonville Jaguars 18,4,36,1,5,1,8,2,23
Dallas,11/11/2018,10,John Parry,Dallas Cowboys 27 @ Philadelphia Eagles 20,0,0,0,0,0,0,0,0
New Orleans,11/18/2018,11,Carl Cheffers,Philadelphia Eagles 7 @ New Orleans Saints 48,6,49,1,10,2,17,3,22
N.Y. Giants,11/25/2018,12,Walt Anderson,New York Giants 22 @ Philadelphia Eagles 25,7,46,4,35,3,11,0,0
Washington,12/03/2018,13,Tony Corrente,Washington Redskins 13 @ Philadelphia Eagles 28,5,38,3,20,2,18,0,0
Dallas,12/09/2018,14,Clete Blakeman,Philadelphia Eagles 23 @ Dallas Cowboys 29,5,49,2,19,3,30,0,0
LA Rams,12/16/2018,15,Bill Vinovich,Philadelphia Eagles 30 @ Los Angeles Rams 23,6,49,6,49,0,0,0,0
Houston,12/23/2018,16,John Parry,Houston Texans 30 @ Philadelphia Eagles 32,11,105,6,45,4,50,1,10
Washington,12/30/2018,17,Craig Wrolstad,Philadelphia Eagles 24 @ Washington Redskins 0,5,25,3,15,2,10,0,0
Chicago,01/06/2019,Wildcard Weekend,Tony Corrente,Philadelphia Eagles 16 @ Chicago Bears 15,3,25,0,0,2,20,1,5
New Orleans,01/13/2019,Divisional Playoffs,Carl Cheffers,Philadelphia Eagles 14 @ New Orleans Saints 20,4,30,2,10,2,20,0,0
Totals,,,,,107,907,56,428,34,320,17,159
