Opponent,Date,Week,Ref Crew,Outcome,Total Count,Total Yards,Off Count,Off Yards,Def Count,Def Yards,ST Count,ST Yards
Minnesota,09/12/2021,1,Adrian Hill,Minnesota Vikings 24 @ Cincinnati Bengals 27,3,15,0,0,3,15,0,0
Chicago,09/19/2021,2,Land Clark,Cincinnati Bengals 17 @ Chicago Bears 20,4,57,1,5,3,52,0,0
Pittsburgh,09/26/2021,3,Clete Blakeman,Cincinnati Bengals 24 @ Pittsburgh Steelers 10,10,89,6,45,4,44,0,0
Jacksonville,09/30/2021,4,Brad Allen,Jacksonville Jaguars 21 @ Cincinnati Bengals 24,6,38,4,25,1,4,1,9
Green Bay,10/10/2021,5,Bill Vinovich,Green Bay Packers 25 @ Cincinnati Bengals 22,2,21,1,10,1,11,0,0
Detroit,10/17/2021,6,Shawn Hochuli,Cincinnati Bengals 34 @ Detroit Lions 11,4,31,4,31,0,0,0,0
Baltimore,10/24/2021,7,Tony Corrente,Cincinnati Bengals 41 @ Baltimore Ravens 17,1,5,1,5,0,0,0,0
N.Y. Jets,10/31/2021,8,Craig Wrolstad,Cincinnati Bengals 31 @ New York Jets 34,5,51,2,10,3,41,0,0
Cleveland,11/07/2021,9,Scott Novak,Cleveland Browns 41 @ Cincinnati Bengals 16,4,31,1,10,1,6,2,15
Las Vegas,11/21/2021,11,Jerome Boger,Cincinnati Bengals 32 @ Las Vegas Raiders 13,1,5,0,0,1,5,0,0
Pittsburgh,11/28/2021,12,Bill Vinovich,Pittsburgh Steelers 10 @ Cincinnati Bengals 41,3,18,2,13,1,5,0,0
LA Chargers,12/05/2021,13,Shawn Hochuli,Los Angeles Chargers 41 @ Cincinnati Bengals 22,7,63,6,48,0,0,1,15
San Francisco,12/12/2021,14,Craig Wrolstad,San Francisco 49ers 26 @ Cincinnati Bengals 23,2,19,1,5,1,14,0,0
Denver,12/19/2021,15,Adrian Hill,Cincinnati Bengals 15 @ Denver Broncos 10,6,38,2,10,3,23,1,5
Baltimore,12/26/2021,16,Clete Blakeman,Baltimore Ravens 21 @ Cincinnati Bengals 41,5,45,4,40,1,5,0,0
Kansas City,01/02/2022,17,Ron Torbert,Kansas City Chiefs 31 @ Cincinnati Bengals 34,5,62,4,30,1,32,0,0
Cleveland,01/09/2022,18,Bill Vinovich,Cincinnati Bengals 16 @ Cleveland Browns 21,4,32,3,20,1,12,0,0
Las Vegas,01/15/2022,Wildcard Weekend,Jerome Boger,Las Vegas Raiders 19 @ Cincinnati Bengals 26,7,56,3,20,4,36,0,0
Tennessee,01/22/2022,Divisional Playoffs,Clete Blakeman,Cincinnati Bengals 19 @ Tennessee Titans 16,6,46,3,15,1,15,2,16
Kansas City,01/30/2022,Conference Championships,Bill Vinovich,Cincinnati Bengals 27 @ Kansas City Chiefs 24,4,30,2,11,2,19,0,0
LA Rams,02/13/2022,Super Bowl,Ron Torbert,Los Angeles Rams 23 @ Cincinnati Bengals 20,4,31,1,14,3,17,0,0
Totals,,,,,93,783,51,367,35,356,7,60
