Opponent,Date,Week,Ref Crew,Outcome,Total Count,Total Yards,Off Count,Off Yards,Def Count,Def Yards,ST Count,ST Yards
San Francisco,09/09/2024,1.0,Carl Cheffers,New York Jets 19 @ San Francisco 49ers 32,3,10,1,0,2,10,0,0
Tennessee,09/15/2024,2.0,Alan Eck,New York Jets 24 @ Tennessee Titans 17,7,70,2,15,5,55,0,0
New England,09/19/2024,3.0,John Hussey,New England Patriots 3 @ New York Jets 24,8,106,5,42,2,49,1,15
Denver,09/29/2024,4.0,Ron Torbert,Denver Broncos 10 @ New York Jets 9,13,90,8,45,3,24,2,21
Minnesota,10/06/2024,5.0,Scott Novak,New York Jets 17 @ Minnesota Vikings 23,8,76,1,5,6,66,1,5
Buffalo,10/14/2024,6.0,Adrian Hill,Buffalo Bills 23 @ New York Jets 20,11,110,5,40,4,51,2,19
Pittsburgh,10/20/2024,7.0,Shawn Smith,New York Jets 15 @ Pittsburgh Steelers 37,5,50,4,21,1,29,0,0
New England,10/27/2024,8.0,Craig Wrolstad,New York Jets 22 @ New England Patriots 25,8,55,3,15,4,30,1,10
Houston,10/31/2024,9.0,Shawn Hochuli,Houston Texans 13 @ New York Jets 21,9,83,1,10,4,25,4,48
Arizona,11/10/2024,10.0,John Hussey,New York Jets 6 @ Arizona Cardinals 31,3,25,1,5,2,20,0,0
Indianapolis,11/17/2024,11.0,Tra Blake,Indianapolis Colts 28 @ New York Jets 27,2,14,2,14,0,0,0,0
Seattle,12/01/2024,13.0,Carl Cheffers,Seattle Seahawks 26 @ New York Jets 21,12,83,5,30,7,53,0,0
Miami,12/08/2024,14.0,Shawn Hochuli,New York Jets 26 @ Miami Dolphins 32,10,83,5,30,4,53,1,0
Jacksonville,12/15/2024,15.0,Brad Rogers,New York Jets 32 @ Jacksonville Jaguars 25,8,62,2,15,5,42,1,5
LA Rams,12/22/2024,16.0,Ron Torbert,Los Angeles Rams 19 @ New York Jets 9,8,62,7,50,1,12,0,0
Buffalo,12/29/2024,17.0,Clete Blakeman,New York Jets 14 @ Buffalo Bills 40,16,120,6,46,7,54,3,20
Miami,01/05/2025,18.0,Tra Blake,Miami Dolphins 20 @ New York Jets 32,6,35,1,15,3,15,2,5
Totals,,,,,137,1134,59,398,60,588,18,148
