Opponent,Date,Week,Ref Crew,Outcome,Total Count,Total Yards,Off Count,Off Yards,Def Count,Def Yards,ST Count,ST Yards
Pittsburgh,09/10/2023,1,Alex Kemp,San Francisco 49ers 30 @ Pittsburgh Steelers 7,11,85,6,45,4,35,1,5
LA Rams,09/17/2023,2,Brad Allen,San Francisco 49ers 30 @ Los Angeles Rams 23,6,57,2,25,2,12,2,20
N.Y. Giants,09/21/2023,3,Shawn Hochuli,New York Giants 12 @ San Francisco 49ers 30,6,71,2,15,2,37,2,19
Arizona,10/01/2023,4,Clete Blakeman,Arizona Cardinals 16 @ San Francisco 49ers 35,4,21,1,5,3,16,0,0
Dallas,10/08/2023,5,Alan Eck,Dallas Cowboys 10 @ San Francisco 49ers 42,6,45,6,45,0,0,0,0
Cleveland,10/15/2023,6,John Hussey,San Francisco 49ers 17 @ Cleveland Browns 19,12,105,6,46,3,25,3,34
Minnesota,10/23/2023,7,Carl Cheffers,San Francisco 49ers 17 @ Minnesota Vikings 22,5,37,2,10,3,27,0,0
Cincinnati,10/29/2023,8,Ron Torbert,Cincinnati Bengals 31 @ San Francisco 49ers 17,5,54,2,20,3,34,0,0
Jacksonville,11/12/2023,10,Brad Allen,San Francisco 49ers 34 @ Jacksonville Jaguars 3,7,90,3,32,4,58,0,0
Tampa Bay,11/19/2023,11,Craig Wrolstad,Tampa Bay Buccaneers 14 @ San Francisco 49ers 27,7,66,2,15,4,36,1,15
Seattle,11/23/2023,12,Tra Blake,San Francisco 49ers 31 @ Seattle Seahawks 13,3,20,3,20,0,0,0,0
Philadelphia,12/03/2023,13,Alex Kemp,San Francisco 49ers 42 @ Philadelphia Eagles 19,5,47,2,9,2,23,1,15
Seattle,12/10/2023,14,Brad Rogers,Seattle Seahawks 16 @ San Francisco 49ers 28,5,30,2,15,3,15,0,0
Arizona,12/17/2023,15,Scott Novak,San Francisco 49ers 45 @ Arizona Cardinals 29,1,5,0,0,1,5,0,0
Baltimore,12/25/2023,16,Bill Vinovich,Baltimore Ravens 33 @ San Francisco 49ers 19,10,102,3,30,5,52,2,20
Washington,12/31/2023,17,Ron Torbert,San Francisco 49ers 27 @ Washington Commanders 10,3,20,1,10,2,10,0,0
LA Rams,01/07/2024,18,Clay Martin,Los Angeles Rams 21 @ San Francisco 49ers 20,5,78,2,20,3,58,0,0
Green Bay,01/20/2024,Divisional Playoffs,Alex Kemp,Green Bay Packers 21 @ San Francisco 49ers 24,6,83,1,5,4,66,1,12
Detroit,01/28/2024,Conference Championships,Clete Blakeman,Detroit Lions 31 @ San Francisco 49ers 34,3,20,1,5,1,5,1,10
Kansas City,02/11/2024,Super Bowl,Bill Vinovich,San Francisco 49ers 22 @ Kansas City Chiefs 25,6,40,5,35,0,0,1,5
Totals,,,,,116,1076,52,407,49,514,15,155
