Opponent,Date,Week,Ref Crew,Outcome,Total Count,Total Yards,Off Count,Off Yards,Def Count,Def Yards,ST Count,ST Yards
Carolina,09/11/2022,1.0,Brad Rogers,Cleveland Browns 26 @ Carolina Panthers 24,9,71,5,30,3,36,1,5
N.Y. Jets,09/18/2022,2.0,Tra Blake,New York Jets 31 @ Cleveland Browns 30,5,38,2,14,3,24,0,0
Pittsburgh,09/22/2022,3.0,Clay Martin,Pittsburgh Steelers 17 @ Cleveland Browns 29,5,24,2,10,2,10,1,4
Atlanta,10/02/2022,4.0,Craig Wrolstad,Cleveland Browns 20 @ Atlanta Falcons 23,7,51,3,20,2,18,2,13
LA Chargers,10/09/2022,5.0,Adrian Hill,Los Angeles Chargers 30 @ Cleveland Browns 28,6,65,1,5,5,60,0,0
New England,10/16/2022,6.0,Scott Novak,New England Patriots 38 @ Cleveland Browns 15,7,63,2,20,3,33,2,10
Baltimore,10/23/2022,7.0,Shawn Smith,Cleveland Browns 20 @ Baltimore Ravens 23,6,45,3,25,1,5,2,15
Cincinnati,10/31/2022,8.0,Bill Vinovich,Cincinnati Bengals 13 @ Cleveland Browns 32,6,56,2,15,4,41,0,0
Miami,11/13/2022,10.0,Shawn Hochuli,Cleveland Browns 17 @ Miami Dolphins 39,6,52,4,32,2,20,0,0
Buffalo,11/20/2022,11.0,Adrian Hill,Cleveland Browns 23 @ Buffalo Bills 31,6,42,4,17,1,15,1,10
Tampa Bay,11/27/2022,12.0,Tra Blake,Tampa Bay Buccaneers 17 @ Cleveland Browns 23,5,42,3,24,2,18,0,0
Houston,12/04/2022,13.0,Land Clark,Cleveland Browns 27 @ Houston Texans 14,6,56,4,26,2,30,0,0
Cincinnati,12/11/2022,14.0,Jerome Boger,Cleveland Browns 10 @ Cincinnati Bengals 23,9,98,5,40,3,43,1,15
Baltimore,12/17/2022,15.0,Brad Allen,Baltimore Ravens 3 @ Cleveland Browns 13,3,32,1,10,1,12,1,10
New Orleans,12/24/2022,16.0,Brad Rogers,New Orleans Saints 17 @ Cleveland Browns 10,4,45,3,30,1,15,0,0
Washington,01/01/2023,17.0,Bill Vinovich,Cleveland Browns 24 @ Washington Commanders 10,3,20,2,15,1,5,0,0
Pittsburgh,01/08/2023,18.0,Clete Blakeman,Cleveland Browns 14 @ Pittsburgh Steelers 28,9,65,4,33,4,22,1,10
Totals,,,,,102,865,50,366,40,407,12,92
