Opponent,Date,Week,Ref Crew,Outcome,Total Count,Total Yards,Off Count,Off Yards,Def Count,Def Yards,ST Count,ST Yards
Buffalo,09/09/2018,1,Shawn Hochuli,Buffalo Bills 3 @ Baltimore Ravens 47,9,78,5,40,3,33,1,5
Cincinnati,09/13/2018,2,Walt Anderson,Baltimore Ravens 23 @ Cincinnati Bengals 34,7,51,3,15,4,36,0,0
Denver,09/23/2018,3,Ron Torbert,Denver Broncos 14 @ Baltimore Ravens 27,7,52,2,10,4,37,1,5
Pittsburgh,09/30/2018,4,Tony Corrente,Baltimore Ravens 26 @ Pittsburgh Steelers 14,7,50,3,25,2,10,2,15
Cleveland,10/07/2018,5,John Hussey,Baltimore Ravens 9 @ Cleveland Browns 12,4,41,1,10,1,15,2,16
Tennessee,10/14/2018,6,Carl Cheffers,Baltimore Ravens 21 @ Tennessee Titans 0,10,70,5,35,2,10,3,25
New Orleans,10/21/2018,7,John Parry,New Orleans Saints 24 @ Baltimore Ravens 23,5,54,0,0,3,34,2,20
Carolina,10/28/2018,8,Pete Morelli,Baltimore Ravens 21 @ Carolina Panthers 36,9,68,5,40,2,18,2,10
Pittsburgh,11/04/2018,9,Craig Wrolstad,Pittsburgh Steelers 23 @ Baltimore Ravens 16,5,25,4,20,1,5,0,0
Cincinnati,11/18/2018,11,Walt Coleman,Cincinnati Bengals 21 @ Baltimore Ravens 24,5,31,4,30,1,1,0,0
Oakland,11/25/2018,12,Clay Martin,Oakland Raiders 17 @ Baltimore Ravens 34,6,45,4,25,0,0,2,20
Atlanta,12/02/2018,13,Brad Allen,Baltimore Ravens 26 @ Atlanta Falcons 16,9,88,2,15,7,73,0,0
Kansas City,12/09/2018,14,Tony Corrente,Baltimore Ravens 24 @ Kansas City Chiefs 27,11,112,4,35,6,67,1,10
Tampa Bay,12/16/2018,15,Ron Torbert,Tampa Bay Buccaneers 12 @ Baltimore Ravens 20,8,70,5,52,2,13,1,5
LA Chargers,12/22/2018,16,Clete Blakeman,Baltimore Ravens 22 @ Los Angeles Chargers 10,4,40,2,10,2,30,0,0
Cleveland,12/30/2018,17,Shawn Smith,Cleveland Browns 24 @ Baltimore Ravens 26,10,65,7,50,3,15,0,0
LA Chargers,01/06/2019,Wildcard Weekend,Clete Blakeman,Los Angeles Chargers 23 @ Baltimore Ravens 17,7,41,2,15,5,26,0,0
Totals,,,,,123,981,58,427,48,423,17,131
