Opponent,Date,Week,Ref Crew,Outcome,Total Count,Total Yards,Off Count,Off Yards,Def Count,Def Yards,ST Count,ST Yards
Dallas,09/13/2009,1.0,Al Riveron,Dallas Cowboys 34 @ Tampa Bay Buccaneers 21,3,15,1,5,1,5,1,5
Buffalo,09/20/2009,2.0,Ron Winter,Tampa Bay Buccaneers 20 @ Buffalo Bills 33,13,112,7,55,4,50,2,7
N.Y. Giants,09/27/2009,3.0,Jeff Triplette,New York Giants 24 @ Tampa Bay Buccaneers 0,5,25,2,10,3,15,0,0
Washington,10/04/2009,4.0,Ed Hochuli,Tampa Bay Buccaneers 13 @ Washington Redskins 16,5,40,4,30,0,0,1,10
Philadelphia,10/11/2009,5.0,Terry McAulay,Tampa Bay Buccaneers 14 @ Philadelphia Eagles 33,4,30,2,15,1,5,1,10
Carolina,10/18/2009,6.0,John Parry,Carolina Panthers 28 @ Tampa Bay Buccaneers 21,5,40,4,35,1,5,0,0
New England,10/25/2009,7.0,Jerome Boger,New England Patriots 35 @ Tampa Bay Buccaneers 7,6,55,4,40,1,5,1,10
Green Bay,11/08/2009,9.0,Pete Morelli,Green Bay Packers 28 @ Tampa Bay Buccaneers 38,2,15,2,15,0,0,0,0
Miami,11/15/2009,10.0,Tony Corrente,Tampa Bay Buccaneers 23 @ Miami Dolphins 25,9,77,5,42,3,29,1,6
New Orleans,11/22/2009,11.0,Walt Coleman,New Orleans Saints 38 @ Tampa Bay Buccaneers 7,3,18,1,4,0,0,2,14
Atlanta,11/29/2009,12.0,Walt Anderson,Tampa Bay Buccaneers 17 @ Atlanta Falcons 20,8,52,5,37,1,5,2,10
Carolina,12/06/2009,13.0,Don Carey,Tampa Bay Buccaneers 6 @ Carolina Panthers 16,5,50,3,30,0,0,2,20
N.Y. Jets,12/13/2009,14.0,Carl Cheffers,New York Jets 26 @ Tampa Bay Buccaneers 3,6,34,5,29,1,5,0,0
Seattle,12/20/2009,15.0,Mike Carey,Tampa Bay Buccaneers 24 @ Seattle Seahawks 7,6,35,4,25,2,10,0,0
New Orleans,12/27/2009,16.0,Jerome Boger,Tampa Bay Buccaneers 20 @ New Orleans Saints 17,7,42,5,25,2,17,0,0
Atlanta,01/03/2010,17.0,Gene Steratore,Atlanta Falcons 20 @ Tampa Bay Buccaneers 10,5,51,1,10,3,31,1,10
Totals,,,,,92,691,55,407,23,182,14,102
