Opponent,Date,Week,Ref Crew,Outcome,Total Count,Total Yards,Off Count,Off Yards,Def Count,Def Yards,ST Count,ST Yards
New England,09/08/2019,1.0,Clete Blakeman,Pittsburgh Steelers 3 @ New England Patriots 33,6,54,5,45,1,9,0,0
Seattle,09/15/2019,2.0,Carl Cheffers,Seattle Seahawks 28 @ Pittsburgh Steelers 26,5,78,2,16,2,48,1,14
San Francisco,09/22/2019,3.0,Scott Novak,Pittsburgh Steelers 20 @ San Francisco 49ers 24,6,42,1,5,3,22,2,15
Cincinnati,09/30/2019,4.0,Bill Vinovich,Cincinnati Bengals 3 @ Pittsburgh Steelers 27,4,37,2,15,2,22,0,0
Baltimore,10/06/2019,5.0,Walt Anderson,Baltimore Ravens 26 @ Pittsburgh Steelers 23,11,76,4,29,6,37,1,10
LA Chargers,10/13/2019,6.0,John Hussey,Pittsburgh Steelers 24 @ Los Angeles Chargers 17,6,45,2,15,3,25,1,5
Miami,10/28/2019,8.0,Ron Torbert,Miami Dolphins 14 @ Pittsburgh Steelers 27,9,70,8,65,1,5,0,0
Indianapolis,11/03/2019,9.0,Brad Allen,Indianapolis Colts 24 @ Pittsburgh Steelers 26,5,70,1,5,3,55,1,10
LA Rams,11/10/2019,10.0,Shawn Smith,Los Angeles Rams 12 @ Pittsburgh Steelers 17,13,102,4,35,3,27,6,40
Cleveland,11/14/2019,11.0,Clete Blakeman,Pittsburgh Steelers 7 @ Cleveland Browns 21,6,41,5,35,1,6,0,0
Cincinnati,11/24/2019,12.0,Adrian Hill,Pittsburgh Steelers 16 @ Cincinnati Bengals 10,10,76,4,35,4,30,2,11
Cleveland,12/01/2019,13.0,Clay Martin,Cleveland Browns 13 @ Pittsburgh Steelers 20,10,65,8,45,2,20,0,0
Arizona,12/08/2019,14.0,Ron Torbert,Pittsburgh Steelers 23 @ Arizona Cardinals 17,4,20,1,5,3,15,0,0
Buffalo,12/15/2019,15.0,Tony Corrente,Buffalo Bills 17 @ Pittsburgh Steelers 10,6,30,3,15,2,10,1,5
N.Y. Jets,12/22/2019,16.0,Shawn Hochuli,Pittsburgh Steelers 10 @ New York Jets 16,4,34,1,5,1,14,2,15
Baltimore,12/29/2019,17.0,Bill Vinovich,Pittsburgh Steelers 10 @ Baltimore Ravens 28,6,47,2,17,4,30,0,0
Totals,,,,,111,887,53,387,41,375,17,125
