Opponent,Date,Week,Ref Crew,Outcome,Total Count,Total Yards,Off Count,Off Yards,Def Count,Def Yards,ST Count,ST Yards
Las Vegas,09/08/2024,1,Scott Novak,Las Vegas Raiders 10 @ Los Angeles Chargers 22,7,50,5,30,2,20,0,0
Carolina,09/15/2024,2,Brad Rogers,Los Angeles Chargers 26 @ Carolina Panthers 3,3,15,2,15,0,0,1,0
Pittsburgh,09/22/2024,3,Alex Kemp,Los Angeles Chargers 10 @ Pittsburgh Steelers 20,7,69,1,10,4,49,2,10
Kansas City,09/29/2024,4,Shawn Smith,Kansas City Chiefs 17 @ Los Angeles Chargers 10,9,51,7,45,2,6,0,0
Denver,10/13/2024,6,Tra Blake,Los Angeles Chargers 23 @ Denver Broncos 16,3,20,2,15,1,5,0,0
Arizona,10/21/2024,7,Clete Blakeman,Los Angeles Chargers 15 @ Arizona Cardinals 17,5,57,2,15,3,42,0,0
New Orleans,10/27/2024,8,Alan Eck,New Orleans Saints 8 @ Los Angeles Chargers 26,4,34,2,15,2,19,0,0
Cleveland,11/03/2024,9,Bill Vinovich,Los Angeles Chargers 27 @ Cleveland Browns 10,5,35,3,25,2,10,0,0
Tennessee,11/10/2024,10,Craig Wrolstad,Tennessee Titans 17 @ Los Angeles Chargers 27,5,30,0,0,3,15,2,15
Cincinnati,11/17/2024,11,Brad Allen,Cincinnati Bengals 27 @ Los Angeles Chargers 34,5,50,1,10,4,40,0,0
Baltimore,11/25/2024,12,Carl Cheffers,Baltimore Ravens 30 @ Los Angeles Chargers 23,7,62,5,45,1,12,1,5
Atlanta,12/01/2024,13,Clete Blakeman,Los Angeles Chargers 17 @ Atlanta Falcons 13,7,33,2,9,5,24,0,0
Kansas City,12/08/2024,14,Bill Vinovich,Los Angeles Chargers 17 @ Kansas City Chiefs 19,7,50,2,20,4,30,1,0
Tampa Bay,12/15/2024,15,Scott Novak,Tampa Bay Buccaneers 40 @ Los Angeles Chargers 17,7,60,1,5,3,25,3,30
Denver,12/19/2024,16,Clay Martin,Denver Broncos 27 @ Los Angeles Chargers 34,2,8,1,5,1,3,0,0
New England,12/28/2024,17,John Hussey,Los Angeles Chargers 40 @ New England Patriots 7,6,54,0,0,3,35,3,19
Las Vegas,01/05/2025,18,Carl Cheffers,Los Angeles Chargers 34 @ Las Vegas Raiders 20,7,40,4,25,3,15,0,0
Houston,01/11/2025,Wildcard Weekend,Land Clark,Los Angeles Chargers 12 @ Houston Texans 32,2,10,1,5,1,5,0,0
Totals,,,,,98,728,41,294,44,355,13,79
