Opponent,Date,Week,Ref Crew,Outcome,Total Count,Total Yards,Off Count,Off Yards,Def Count,Def Yards,ST Count,ST Yards
N.Y. Giants,09/08/2013,1.0,Tony Corrente,New York Giants 31 @ Dallas Cowboys 36,5,40,5,40,0,0,0,0
Kansas City,09/15/2013,2.0,Jerome Boger,Dallas Cowboys 16 @ Kansas City Chiefs 17,5,27,4,21,1,6,0,0
St. Louis,09/22/2013,3.0,Carl Cheffers,St. Louis Rams 7 @ Dallas Cowboys 31,6,72,2,25,3,37,1,10
San Diego,09/29/2013,4.0,Ed Hochuli,Dallas Cowboys 21 @ San Diego Chargers 30,5,33,3,25,2,8,0,0
Denver,10/06/2013,5.0,Terry McAulay,Denver Broncos 51 @ Dallas Cowboys 48,9,81,2,11,6,60,1,10
Washington,10/13/2013,6.0,Walt Anderson,Washington Redskins 16 @ Dallas Cowboys 31,7,80,2,20,4,50,1,10
Philadelphia,10/20/2013,7.0,John Parry,Dallas Cowboys 17 @ Philadelphia Eagles 3,12,75,4,20,5,25,3,30
Detroit,10/27/2013,8.0,Bill Vinovich,Dallas Cowboys 30 @ Detroit Lions 31,2,31,0,0,1,21,1,10
Minnesota,11/03/2013,9.0,Jeff Triplette,Minnesota Vikings 23 @ Dallas Cowboys 27,5,45,4,40,1,5,0,0
New Orleans,11/10/2013,10.0,Jerome Boger,Dallas Cowboys 17 @ New Orleans Saints 49,11,82,2,16,6,43,3,23
N.Y. Giants,11/24/2013,12.0,Walt Anderson,Dallas Cowboys 24 @ New York Giants 21,11,85,4,25,4,33,3,27
Oakland,11/28/2013,13.0,Scott Green,Oakland Raiders 24 @ Dallas Cowboys 31,6,40,3,25,2,10,1,5
Chicago,12/09/2013,14.0,Terry McAulay,Dallas Cowboys 28 @ Chicago Bears 45,4,50,0,0,4,50,0,0
Green Bay,12/15/2013,15.0,Walt Coleman,Green Bay Packers 37 @ Dallas Cowboys 36,7,79,3,30,4,49,0,0
Washington,12/22/2013,16.0,Bill Leavy,Dallas Cowboys 24 @ Washington Redskins 23,6,42,2,10,3,25,1,7
Philadelphia,12/29/2013,17.0,Gene Steratore,Philadelphia Eagles 24 @ Dallas Cowboys 22,1,5,1,5,0,0,0,0
Totals,,,,,102,867,41,313,46,422,15,132
