Opponent,Date,Week,Ref Crew,Outcome,Total Count,Total Yards,Off Count,Off Yards,Def Count,Def Yards,ST Count,ST Yards
Pittsburgh,09/08/2013,1.0,Jerome Boger,Tennessee Titans 16 @ Pittsburgh Steelers 9,6,60,5,45,1,15,0,0
Houston,09/15/2013,2.0,Jeff Triplette,Tennessee Titans 24 @ Houston Texans 30,9,70,7,50,1,15,1,5
San Diego,09/22/2013,3.0,Tony Corrente,San Diego Chargers 17 @ Tennessee Titans 20,11,116,3,25,4,62,4,29
N.Y. Jets,09/29/2013,4.0,Walt Anderson,New York Jets 13 @ Tennessee Titans 38,4,30,1,10,1,5,2,15
Kansas City,10/06/2013,5.0,Bill Vinovich,Kansas City Chiefs 26 @ Tennessee Titans 17,6,35,1,5,4,25,1,5
Seattle,10/13/2013,6.0,Carl Cheffers,Tennessee Titans 13 @ Seattle Seahawks 20,7,44,3,20,3,19,1,5
San Francisco,10/20/2013,7.0,Ron Winter,San Francisco 49ers 31 @ Tennessee Titans 17,10,100,6,55,2,30,2,15
St. Louis,11/03/2013,9.0,Pete Morelli,Tennessee Titans 28 @ St. Louis Rams 21,3,30,0,0,2,20,1,10
Jacksonville,11/10/2013,10.0,John Parry,Jacksonville Jaguars 29 @ Tennessee Titans 27,6,45,3,21,1,15,2,9
Indianapolis,11/14/2013,11.0,Mike Carey,Indianapolis Colts 30 @ Tennessee Titans 27,4,34,1,10,3,24,0,0
Oakland,11/24/2013,12.0,Carl Cheffers,Tennessee Titans 23 @ Oakland Raiders 19,10,100,8,75,1,15,1,10
Indianapolis,12/01/2013,13.0,Walt Coleman,Tennessee Titans 14 @ Indianapolis Colts 22,6,74,2,20,4,54,0,0
Denver,12/08/2013,14.0,Scott Green,Tennessee Titans 28 @ Denver Broncos 51,8,66,2,9,5,42,1,15
Arizona,12/15/2013,15.0,Pete Morelli,Arizona Cardinals 37 @ Tennessee Titans 34,3,16,2,15,1,1,0,0
Jacksonville,12/22/2013,16.0,Bill Vinovich,Tennessee Titans 20 @ Jacksonville Jaguars 16,1,4,0,0,0,0,1,4
Houston,12/29/2013,17.0,Terry McAulay,Houston Texans 10 @ Tennessee Titans 16,7,76,4,35,2,37,1,4
Totals,,,,,101,900,48,395,35,379,18,126
