Opponent,Date,Week,Ref Crew,Outcome,Total Count,Total Yards,Off Count,Off Yards,Def Count,Def Yards,ST Count,ST Yards
Washington,09/10/2017,1,Brad Allen,Philadelphia Eagles 30 @ Washington Redskins 17,8,76,5,51,2,10,1,15
Kansas City,09/17/2017,2,Terry McAulay,Philadelphia Eagles 20 @ Kansas City Chiefs 27,4,30,2,15,1,5,1,10
N.Y. Giants,09/24/2017,3,Jerome Boger,New York Giants 24 @ Philadelphia Eagles 27,9,103,4,40,4,53,1,10
LA Chargers,10/01/2017,4,Carl Cheffers,Philadelphia Eagles 26 @ Los Angeles Chargers 24,9,58,2,15,6,35,1,8
Arizona,10/08/2017,5,John Hussey,Arizona Cardinals 7 @ Philadelphia Eagles 34,5,60,3,30,2,30,0,0
Carolina,10/12/2017,6,Pete Morelli,Philadelphia Eagles 28 @ Carolina Panthers 23,10,126,4,39,4,77,2,10
Washington,10/23/2017,7,Ed Hochuli,Washington Redskins 24 @ Philadelphia Eagles 34,9,55,6,36,2,14,1,5
San Francisco,10/29/2017,8,Clete Blakeman,San Francisco 49ers 10 @ Philadelphia Eagles 33,4,35,2,15,2,20,0,0
Denver,11/05/2017,9,Gene Steratore,Denver Broncos 23 @ Philadelphia Eagles 51,5,35,1,10,3,15,1,10
Dallas,11/19/2017,11,Bill Vinovich,Philadelphia Eagles 37 @ Dallas Cowboys 9,3,30,1,15,2,15,0,0
Chicago,11/26/2017,12,Walt Coleman,Chicago Bears 3 @ Philadelphia Eagles 31,11,70,7,50,4,20,0,0
Seattle,12/03/2017,13,Tony Corrente,Philadelphia Eagles 10 @ Seattle Seahawks 24,7,64,1,10,4,34,2,20
LA Rams,12/10/2017,14,Craig Wrolstad,Philadelphia Eagles 43 @ Los Angeles Rams 35,10,67,5,39,4,23,1,5
N.Y. Giants,12/17/2017,15,Brad Allen,Philadelphia Eagles 34 @ New York Giants 29,7,44,1,5,5,34,1,5
Oakland,12/25/2017,16,Ron Torbert,Oakland Raiders 10 @ Philadelphia Eagles 19,8,60,5,45,3,15,0,0
Dallas,12/31/2017,17,John Parry,Dallas Cowboys 6 @ Philadelphia Eagles 0,7,49,5,39,2,10,0,0
Atlanta,01/13/2018,Divisional Playoffs,Bill Vinovich,Atlanta Falcons 10 @ Philadelphia Eagles 15,4,24,1,5,3,19,0,0
Minnesota,01/21/2018,Conference Championships,Ed Hochuli,Minnesota Vikings 7 @ Philadelphia Eagles 38,4,55,1,10,1,15,2,30
New England,02/04/2018,Super Bowl,Gene Steratore,Philadelphia Eagles 41 @ New England Patriots 33,6,35,2,10,3,15,1,10
Totals,,,,,130,1076,58,479,57,459,15,138
