Opponent,Date,Week,Ref Crew,Outcome,Total Count,Total Yards,Off Count,Off Yards,Def Count,Def Yards,ST Count,ST Yards
Atlanta,09/11/2011,1.0,Ed Hochuli,Atlanta Falcons 12 @ Chicago Bears 30,8,56,2,20,3,15,3,21
New Orleans,09/18/2011,2.0,Walt Coleman,Chicago Bears 13 @ New Orleans Saints 30,6,47,5,32,0,0,1,15
Green Bay,09/25/2011,3.0,Mike Carey,Green Bay Packers 27 @ Chicago Bears 17,10,70,6,45,3,15,1,10
Carolina,10/02/2011,4.0,Terry McAulay,Carolina Panthers 29 @ Chicago Bears 34,5,45,1,5,2,20,2,20
Detroit,10/10/2011,5.0,Clete Blakeman,Chicago Bears 13 @ Detroit Lions 24,14,104,9,50,4,50,1,4
Minnesota,10/16/2011,6.0,Walt Anderson,Minnesota Vikings 10 @ Chicago Bears 39,3,15,3,15,0,0,0,0
Tampa Bay,10/23/2011,7.0,Tony Corrente,Chicago Bears 24 @ Tampa Bay Buccaneers 18,7,54,1,5,4,34,2,15
Philadelphia,11/07/2011,9.0,Scott Green,Chicago Bears 30 @ Philadelphia Eagles 24,6,53,4,30,1,17,1,6
Detroit,11/13/2011,10.0,Pete Morelli,Detroit Lions 13 @ Chicago Bears 37,4,37,0,0,2,23,2,14
San Diego,11/20/2011,11.0,Jeff Triplette,San Diego Chargers 20 @ Chicago Bears 31,6,61,2,10,2,31,2,20
Oakland,11/27/2011,12.0,Ron Winter,Chicago Bears 20 @ Oakland Raiders 25,7,61,5,41,0,0,2,20
Kansas City,12/04/2011,13.0,Jerome Boger,Kansas City Chiefs 10 @ Chicago Bears 3,5,35,1,5,1,5,3,25
Denver,12/11/2011,14.0,Carl Cheffers,Chicago Bears 10 @ Denver Broncos 13,8,69,4,29,2,30,2,10
Seattle,12/18/2011,15.0,Ed Hochuli,Seattle Seahawks 38 @ Chicago Bears 14,5,45,3,27,1,16,1,2
Green Bay,12/25/2011,16.0,John Parry,Chicago Bears 21 @ Green Bay Packers 35,6,28,4,20,2,8,0,0
Minnesota,01/01/2012,17.0,Mike Carey,Chicago Bears 17 @ Minnesota Vikings 13,4,20,3,20,0,0,1,0
Totals,,,,,104,800,53,354,27,264,24,182
