Opponent,Date,Week,Ref Crew,Outcome,Total Count,Total Yards,Off Count,Off Yards,Def Count,Def Yards,ST Count,ST Yards
Oakland,09/07/2014,1.0,Craig Wrolstad,Oakland Raiders 14 @ New York Jets 19,11,105,6,54,4,41,1,10
Green Bay,09/14/2014,2.0,Walt Anderson,New York Jets 24 @ Green Bay Packers 31,7,82,0,0,5,67,2,15
Chicago,09/22/2014,3.0,Jerome Boger,Chicago Bears 27 @ New York Jets 19,6,78,3,25,3,53,0,0
Detroit,09/28/2014,4.0,Walt Coleman,Detroit Lions 24 @ New York Jets 17,6,32,4,20,0,0,2,12
San Diego,10/05/2014,5.0,Ron Torbert,New York Jets 0 @ San Diego Chargers 31,12,94,8,61,3,18,1,15
Denver,10/12/2014,6.0,Brad Allen,Denver Broncos 31 @ New York Jets 17,2,9,0,0,2,9,0,0
New England,10/16/2014,7.0,Bill Leavy,New York Jets 25 @ New England Patriots 27,7,70,2,20,4,47,1,3
Buffalo,10/26/2014,8.0,Gene Steratore,Buffalo Bills 43 @ New York Jets 23,10,90,5,50,3,26,2,14
Kansas City,11/02/2014,9.0,Tony Corrente,New York Jets 10 @ Kansas City Chiefs 24,5,40,0,0,3,25,2,15
Pittsburgh,11/09/2014,10.0,Terry McAulay,Pittsburgh Steelers 13 @ New York Jets 20,9,75,5,50,3,20,1,5
Buffalo,11/24/2014,12.0,Pete Morelli,New York Jets 3 @ Buffalo Bills 38,9,60,4,25,3,15,2,20
Miami,12/01/2014,13.0,Ron Torbert,Miami Dolphins 16 @ New York Jets 13,7,57,1,5,2,22,4,30
Minnesota,12/07/2014,14.0,Jerome Boger,New York Jets 24 @ Minnesota Vikings 30,4,40,2,20,2,20,0,0
Tennessee,12/14/2014,15.0,John Parry,New York Jets 16 @ Tennessee Titans 11,7,46,5,36,2,10,0,0
New England,12/21/2014,16.0,Brad Allen,New England Patriots 17 @ New York Jets 16,2,14,1,10,1,4,0,0
Miami,12/28/2014,17.0,Craig Wrolstad,New York Jets 37 @ Miami Dolphins 24,5,40,0,0,3,25,2,15
Totals,,,,,109,932,46,376,43,402,20,154
