Opponent,Date,Week,Ref Crew,Outcome,Total Count,Total Yards,Off Count,Off Yards,Def Count,Def Yards,ST Count,ST Yards
Tennessee,09/10/2009,1.0,Bill Leavy,Tennessee Titans 10 @ Pittsburgh Steelers 13,6,60,4,30,2,30,0,0
Chicago,09/20/2009,2.0,Scott Green,Pittsburgh Steelers 14 @ Chicago Bears 17,6,52,1,5,2,20,3,27
Cincinnati,09/27/2009,3.0,Gene Steratore,Pittsburgh Steelers 20 @ Cincinnati Bengals 23,5,51,3,29,2,22,0,0
San Diego,10/04/2009,4.0,Jeff Triplette,San Diego Chargers 28 @ Pittsburgh Steelers 38,6,59,3,25,2,31,1,3
Detroit,10/11/2009,5.0,Ed Hochuli,Pittsburgh Steelers 28 @ Detroit Lions 20,6,59,4,25,1,27,1,7
Cleveland,10/18/2009,6.0,Walt Anderson,Cleveland Browns 14 @ Pittsburgh Steelers 27,4,30,3,25,1,5,0,0
Minnesota,10/25/2009,7.0,Ron Winter,Minnesota Vikings 17 @ Pittsburgh Steelers 27,3,15,1,10,2,5,0,0
Denver,11/09/2009,9.0,Don Carey,Pittsburgh Steelers 28 @ Denver Broncos 10,4,28,2,10,0,0,2,18
Cincinnati,11/15/2009,10.0,Terry McAulay,Cincinnati Bengals 18 @ Pittsburgh Steelers 12,5,50,2,20,2,20,1,10
Kansas City,11/22/2009,11.0,Carl Cheffers,Pittsburgh Steelers 24 @ Kansas City Chiefs 27,8,85,6,60,1,15,1,10
Baltimore,11/29/2009,12.0,Ed Hochuli,Pittsburgh Steelers 17 @ Baltimore Ravens 20,5,59,4,35,1,24,0,0
Oakland,12/06/2009,13.0,Jerome Boger,Oakland Raiders 27 @ Pittsburgh Steelers 24,4,41,2,15,2,26,0,0
Cleveland,12/10/2009,14.0,Ron Winter,Pittsburgh Steelers 6 @ Cleveland Browns 13,4,40,1,10,2,20,1,10
Green Bay,12/20/2009,15.0,John Parry,Green Bay Packers 36 @ Pittsburgh Steelers 37,10,84,6,55,1,4,3,25
Baltimore,12/27/2009,16.0,Pete Morelli,Baltimore Ravens 20 @ Pittsburgh Steelers 23,4,20,1,5,2,10,1,5
Miami,01/03/2010,17.0,Bill Leavy,Pittsburgh Steelers 30 @ Miami Dolphins 24,5,40,2,15,3,25,0,0
Totals,,,,,85,773,45,374,26,284,14,115
