Opponent,Date,Week,Ref Crew,Outcome,Total Count,Total Yards,Off Count,Off Yards,Def Count,Def Yards,ST Count,ST Yards
N.Y. Jets,09/13/2009,1.0,Ed Hochuli,New York Jets 24 @ Houston Texans 7,6,37,2,7,2,10,2,20
Tennessee,09/20/2009,2.0,Walt Coleman,Houston Texans 34 @ Tennessee Titans 31,6,40,4,30,2,10,0,0
Jacksonville,09/27/2009,3.0,Ron Winter,Jacksonville Jaguars 31 @ Houston Texans 24,5,60,2,15,3,45,0,0
Oakland,10/04/2009,4.0,Don Carey,Oakland Raiders 6 @ Houston Texans 29,1,5,0,0,1,5,0,0
Arizona,10/11/2009,5.0,Tony Corrente,Houston Texans 21 @ Arizona Cardinals 28,6,53,3,20,1,8,2,25
Cincinnati,10/18/2009,6.0,Bill Leavy,Houston Texans 28 @ Cincinnati Bengals 17,7,60,3,30,3,25,1,5
San Francisco,10/25/2009,7.0,Mike Carey,San Francisco 49ers 21 @ Houston Texans 24,7,77,2,20,4,47,1,10
Buffalo,11/01/2009,8.0,Gene Steratore,Houston Texans 31 @ Buffalo Bills 10,5,45,1,5,1,15,3,25
Indianapolis,11/08/2009,9.0,Jeff Triplette,Houston Texans 17 @ Indianapolis Colts 20,13,103,3,20,7,53,3,30
Tennessee,11/23/2009,11.0,Jerome Boger,Tennessee Titans 20 @ Houston Texans 17,7,72,1,5,4,50,2,17
Indianapolis,11/29/2009,12.0,Al Riveron,Indianapolis Colts 35 @ Houston Texans 27,10,129,4,25,5,97,1,7
Jacksonville,12/06/2009,13.0,Terry McAulay,Houston Texans 18 @ Jacksonville Jaguars 23,6,37,3,15,1,5,2,17
Seattle,12/13/2009,14.0,Pete Morelli,Seattle Seahawks 7 @ Houston Texans 34,4,35,1,5,3,30,0,0
St. Louis,12/20/2009,15.0,Ed Hochuli,Houston Texans 16 @ St. Louis Rams 13,4,30,0,0,3,15,1,15
Miami,12/27/2009,16.0,Ron Winter,Houston Texans 27 @ Miami Dolphins 20,3,15,0,0,2,10,1,5
New England,01/03/2010,17.0,John Parry,New England Patriots 27 @ Houston Texans 34,5,35,1,5,4,30,0,0
Totals,,,,,95,833,30,202,46,455,19,176
