Opponent,Date,Week,Ref Crew,Outcome,Total Count,Total Yards,Off Count,Off Yards,Def Count,Def Yards,ST Count,ST Yards
Tampa Bay,09/08/2024,1,Bill Vinovich,Washington Commanders 20 @ Tampa Bay Buccaneers 37,7,51,1,10,4,36,2,5
N.Y. Giants,09/15/2024,2,Scott Novak,New York Giants 18 @ Washington Commanders 21,10,69,6,30,2,14,2,25
Cincinnati,09/23/2024,3,Brad Allen,Washington Commanders 38 @ Cincinnati Bengals 33,3,28,2,10,1,18,0,0
Arizona,09/29/2024,4,Craig Wrolstad,Washington Commanders 42 @ Arizona Cardinals 14,5,49,5,49,0,0,0,0
Cleveland,10/06/2024,5,Alan Eck,Cleveland Browns 13 @ Washington Commanders 34,5,31,1,5,2,11,2,15
Baltimore,10/13/2024,6,Land Clark,Washington Commanders 23 @ Baltimore Ravens 30,6,46,3,20,3,26,0,0
Carolina,10/20/2024,7,Carl Cheffers,Carolina Panthers 7 @ Washington Commanders 40,8,55,6,40,2,15,0,0
Chicago,10/27/2024,8,Clete Blakeman,Chicago Bears 15 @ Washington Commanders 18,5,30,4,19,1,11,0,0
N.Y. Giants,11/03/2024,9,Brad Allen,Washington Commanders 27 @ New York Giants 22,5,52,1,10,4,42,0,0
Pittsburgh,11/10/2024,10,Brad Rogers,Pittsburgh Steelers 28 @ Washington Commanders 27,5,41,1,2,4,39,0,0
Philadelphia,11/14/2024,11,Adrian Hill,Washington Commanders 18 @ Philadelphia Eagles 26,4,25,1,10,1,5,2,10
Dallas,11/24/2024,12,Tra Blake,Dallas Cowboys 34 @ Washington Commanders 26,8,78,3,20,5,58,0,0
Tennessee,12/01/2024,13,Ron Torbert,Tennessee Titans 19 @ Washington Commanders 42,7,65,3,21,2,17,2,27
New Orleans,12/15/2024,15,Shawn Hochuli,Washington Commanders 20 @ New Orleans Saints 19,9,84,6,49,3,35,0,0
Philadelphia,12/22/2024,16,Shawn Smith,Philadelphia Eagles 33 @ Washington Commanders 36,6,93,1,5,5,88,0,0
Atlanta,12/29/2024,17,Alex Kemp,Atlanta Falcons 24 @ Washington Commanders 30,13,108,7,60,4,33,2,15
Dallas,01/05/2025,18,Clete Blakeman,Washington Commanders 23 @ Dallas Cowboys 19,5,55,2,15,2,25,1,15
Tampa Bay,01/12/2025,Wildcard Weekend,Craig Wrolstad,Washington Commanders 23 @ Tampa Bay Buccaneers 20,5,39,2,10,3,29,0,0
Detroit,01/18/2025,Divisional Playoffs,Ron Torbert,Washington Commanders 45 @ Detroit Lions 31,4,25,2,10,1,15,1,0
Totals,,,,,120,1024,57,395,49,517,14,112
