Opponent,Date,Week,Ref Crew,Outcome,Total Count,Total Yards,Off Count,Off Yards,Def Count,Def Yards,ST Count,ST Yards
Las Vegas,09/13/2021,1.0,Shawn Smith,Baltimore Ravens 27 @ Las Vegas Raiders 33,5,71,2,15,3,56,0,0
Kansas City,09/19/2021,2.0,Clete Blakeman,Kansas City Chiefs 35 @ Baltimore Ravens 36,8,55,5,35,2,10,1,10
Detroit,09/26/2021,3.0,Scott Novak,Baltimore Ravens 19 @ Detroit Lions 17,6,69,3,31,2,33,1,5
Denver,10/03/2021,4.0,Craig Wrolstad,Baltimore Ravens 23 @ Denver Broncos 7,6,55,5,40,1,15,0,0
Indianapolis,10/11/2021,5.0,Land Clark,Indianapolis Colts 25 @ Baltimore Ravens 31,8,74,1,6,4,44,3,24
LA Chargers,10/17/2021,6.0,Bill Vinovich,Los Angeles Chargers 6 @ Baltimore Ravens 34,2,15,1,10,1,5,0,0
Cincinnati,10/24/2021,7.0,Tony Corrente,Cincinnati Bengals 41 @ Baltimore Ravens 17,5,46,4,30,1,16,0,0
Minnesota,11/07/2021,9.0,Carl Cheffers,Minnesota Vikings 31 @ Baltimore Ravens 34,8,61,6,50,1,1,1,10
Miami,11/11/2021,10.0,Ron Torbert,Baltimore Ravens 10 @ Miami Dolphins 22,4,20,2,5,2,15,0,0
Chicago,11/21/2021,11.0,Shawn Smith,Baltimore Ravens 16 @ Chicago Bears 13,6,36,3,25,3,11,0,0
Cleveland,11/28/2021,12.0,Jerome Boger,Cleveland Browns 10 @ Baltimore Ravens 16,5,54,3,25,2,29,0,0
Pittsburgh,12/05/2021,13.0,Scott Novak,Baltimore Ravens 19 @ Pittsburgh Steelers 20,10,55,6,35,2,10,2,10
Cleveland,12/12/2021,14.0,Brad Rogers,Baltimore Ravens 22 @ Cleveland Browns 24,10,125,6,65,3,50,1,10
Green Bay,12/19/2021,15.0,Brad Allen,Green Bay Packers 31 @ Baltimore Ravens 30,8,56,4,25,3,26,1,5
Cincinnati,12/26/2021,16.0,Clete Blakeman,Baltimore Ravens 21 @ Cincinnati Bengals 41,6,27,3,20,3,7,0,0
LA Rams,01/02/2022,17.0,Bill Vinovich,Los Angeles Rams 20 @ Baltimore Ravens 19,4,24,4,24,0,0,0,0
Pittsburgh,01/09/2022,18.0,Shawn Hochuli,Pittsburgh Steelers 16 @ Baltimore Ravens 13,1,5,1,5,0,0,0,0
Totals,,,,,102,848,59,446,33,328,10,74
