Opponent,Date,Week,Ref Crew,Outcome,Total Count,Total Yards,Off Count,Off Yards,Def Count,Def Yards,ST Count,ST Yards
Cincinnati,09/10/2023,1,Clete Blakeman,Cincinnati Bengals 3 @ Cleveland Browns 24,5,43,3,20,1,18,1,5
Pittsburgh,09/18/2023,2,Ron Torbert,Cleveland Browns 22 @ Pittsburgh Steelers 26,8,81,6,65,1,1,1,15
Tennessee,09/24/2023,3,Craig Wrolstad,Tennessee Titans 3 @ Cleveland Browns 27,5,46,0,0,4,41,1,5
Baltimore,10/01/2023,4,Brad Allen,Baltimore Ravens 28 @ Cleveland Browns 3,7,42,6,35,1,7,0,0
San Francisco,10/15/2023,6,John Hussey,San Francisco 49ers 17 @ Cleveland Browns 19,13,119,4,35,6,54,3,30
Indianapolis,10/22/2023,7,Shawn Smith,Cleveland Browns 39 @ Indianapolis Colts 38,4,20,1,5,2,10,1,5
Seattle,10/29/2023,8,Bill Vinovich,Cleveland Browns 20 @ Seattle Seahawks 24,4,25,2,15,2,10,0,0
Arizona,11/05/2023,9,Carl Cheffers,Arizona Cardinals 0 @ Cleveland Browns 27,6,65,1,10,2,20,3,35
Baltimore,11/12/2023,10,Land Clark,Cleveland Browns 33 @ Baltimore Ravens 31,10,55,3,20,5,25,2,10
Pittsburgh,11/19/2023,11,Shawn Hochuli,Pittsburgh Steelers 10 @ Cleveland Browns 13,1,10,1,10,0,0,0,0
Denver,11/26/2023,12,Adrian Hill,Cleveland Browns 12 @ Denver Broncos 29,8,66,3,14,5,52,0,0
LA Rams,12/03/2023,13,John Hussey,Cleveland Browns 19 @ Los Angeles Rams 36,7,86,3,20,4,66,0,0
Jacksonville,12/10/2023,14,Ron Torbert,Jacksonville Jaguars 27 @ Cleveland Browns 31,8,75,5,30,3,45,0,0
Chicago,12/17/2023,15,Brad Allen,Chicago Bears 17 @ Cleveland Browns 20,9,48,6,45,3,3,0,0
Houston,12/24/2023,16,Tra Blake,Cleveland Browns 36 @ Houston Texans 22,9,55,1,10,7,35,1,10
N.Y. Jets,12/28/2023,17,Alex Kemp,New York Jets 20 @ Cleveland Browns 37,4,26,1,10,3,16,0,0
Cincinnati,01/07/2024,18,Alan Eck,Cleveland Browns 14 @ Cincinnati Bengals 31,7,35,1,5,6,30,0,0
Houston,01/13/2024,Wildcard Weekend,Clay Martin,Cleveland Browns 14 @ Houston Texans 45,4,32,1,10,2,17,1,5
Totals,,,,,119,929,48,359,57,450,14,120
