Opponent,Date,Week,Ref Crew,Outcome,Total Count,Total Yards,Off Count,Off Yards,Def Count,Def Yards,ST Count,ST Yards
Denver,09/11/2017,1.0,Terry McAulay,Los Angeles Chargers 21 @ Denver Broncos 24,4,40,2,20,1,15,1,5
Miami,09/17/2017,2.0,Tony Corrente,Miami Dolphins 19 @ Los Angeles Chargers 17,6,56,3,20,2,30,1,6
Kansas City,09/24/2017,3.0,Walt Anderson,Kansas City Chiefs 24 @ Los Angeles Chargers 10,8,61,4,25,0,0,4,36
Philadelphia,10/01/2017,4.0,Carl Cheffers,Philadelphia Eagles 26 @ Los Angeles Chargers 24,9,39,4,20,5,19,0,0
N.Y. Giants,10/08/2017,5.0,Jeff Triplette,Los Angeles Chargers 27 @ New York Giants 22,11,87,7,64,2,10,2,13
Oakland,10/15/2017,6.0,Clete Blakeman,Los Angeles Chargers 17 @ Oakland Raiders 16,4,32,0,0,3,27,1,5
Denver,10/22/2017,7.0,John Hussey,Denver Broncos 0 @ Los Angeles Chargers 21,9,81,6,51,1,15,2,15
New England,10/29/2017,8.0,Pete Morelli,Los Angeles Chargers 13 @ New England Patriots 21,10,77,4,22,4,41,2,14
Jacksonville,11/12/2017,10.0,Ron Torbert,Los Angeles Chargers 17 @ Jacksonville Jaguars 20,7,77,2,15,3,44,2,18
Buffalo,11/19/2017,11.0,John Parry,Buffalo Bills 24 @ Los Angeles Chargers 54,1,13,0,0,1,13,0,0
Dallas,11/23/2017,12.0,Jerome Boger,Los Angeles Chargers 28 @ Dallas Cowboys 6,5,56,3,15,2,41,0,0
Cleveland,12/03/2017,13.0,Walt Coleman,Cleveland Browns 10 @ Los Angeles Chargers 19,5,62,1,10,4,52,0,0
Washington,12/10/2017,14.0,Jeff Triplette,Washington Redskins 13 @ Los Angeles Chargers 30,5,40,2,15,2,10,1,15
Kansas City,12/16/2017,15.0,Walt Anderson,Los Angeles Chargers 13 @ Kansas City Chiefs 30,9,61,2,15,5,26,2,20
N.Y. Jets,12/24/2017,16.0,Clete Blakeman,Los Angeles Chargers 14 @ New York Jets 7,8,80,2,18,2,20,4,42
Oakland,12/31/2017,17.0,Ed Hochuli,Oakland Raiders 10 @ Los Angeles Chargers 30,7,65,6,50,1,15,0,0
Totals,,,,,108,927,48,360,38,378,22,189
