Opponent,Date,Week,Ref Crew,Outcome,Total Count,Total Yards,Off Count,Off Yards,Def Count,Def Yards,ST Count,ST Yards
Tampa Bay,09/13/2009,1,Al Riveron,Dallas Cowboys 34 @ Tampa Bay Buccaneers 21,4,41,1,15,2,16,1,10
N.Y. Giants,09/20/2009,2,Mike Carey,New York Giants 33 @ Dallas Cowboys 31,4,50,1,6,2,39,1,5
Carolina,09/28/2009,3,Tony Corrente,Carolina Panthers 7 @ Dallas Cowboys 21,9,80,7,60,0,0,2,20
Denver,10/04/2009,4,Walt Anderson,Dallas Cowboys 10 @ Denver Broncos 17,7,70,4,35,3,35,0,0
Kansas City,10/11/2009,5,Ron Winter,Dallas Cowboys 26 @ Kansas City Chiefs 20,13,90,7,45,6,45,0,0
Atlanta,10/25/2009,7,Scott Green,Atlanta Falcons 21 @ Dallas Cowboys 37,8,50,6,40,2,10,0,0
Seattle,11/01/2009,8,Jerome Boger,Seattle Seahawks 17 @ Dallas Cowboys 38,5,43,1,10,3,25,1,8
Philadelphia,11/08/2009,9,Walt Coleman,Dallas Cowboys 20 @ Philadelphia Eagles 16,11,70,5,40,5,25,1,5
Green Bay,11/15/2009,10,Jeff Triplette,Dallas Cowboys 7 @ Green Bay Packers 17,10,67,4,30,4,19,2,18
Washington,11/22/2009,11,Al Riveron,Washington Redskins 6 @ Dallas Cowboys 7,6,35,4,25,2,10,0,0
Oakland,11/26/2009,12,Carl Cheffers,Oakland Raiders 7 @ Dallas Cowboys 24,6,48,5,40,0,0,1,8
N.Y. Giants,12/06/2009,13,Bill Leavy,Dallas Cowboys 24 @ New York Giants 31,5,30,1,10,1,5,3,15
San Diego,12/13/2009,14,Gene Steratore,San Diego Chargers 20 @ Dallas Cowboys 17,6,68,4,25,2,43,0,0
New Orleans,12/19/2009,15,Terry McAulay,Dallas Cowboys 24 @ New Orleans Saints 17,6,49,4,39,2,10,0,0
Washington,12/27/2009,16,John Parry,Dallas Cowboys 17 @ Washington Redskins 0,4,21,2,11,2,10,0,0
Philadelphia,01/03/2010,17,Ron Winter,Philadelphia Eagles 0 @ Dallas Cowboys 24,11,80,7,50,2,10,2,20
Philadelphia,01/09/2010,Wildcard Weekend,Ed Hochuli,Philadelphia Eagles 14 @ Dallas Cowboys 34,14,112,9,70,4,37,1,5
Minnesota,01/17/2010,Divisional Playoffs,Walt Anderson,Dallas Cowboys 3 @ Minnesota Vikings 34,2,10,1,5,1,5,0,0
Totals,,,,,131,1014,73,556,43,344,15,114
