Opponent,Date,Week,Ref Crew,Outcome,Total Count,Total Yards,Off Count,Off Yards,Def Count,Def Yards,ST Count,ST Yards
Tampa Bay,09/08/2013,1.0,Ed Hochuli,Tampa Bay Buccaneers 17 @ New York Jets 18,6,45,3,20,3,25,0,0
New England,09/12/2013,2.0,Carl Cheffers,New York Jets 10 @ New England Patriots 13,8,66,6,40,1,16,1,10
Buffalo,09/22/2013,3.0,Scott Green,Buffalo Bills 20 @ New York Jets 27,20,168,11,90,9,78,0,0
Tennessee,09/29/2013,4.0,Walt Anderson,New York Jets 13 @ Tennessee Titans 38,10,66,6,31,2,20,2,15
Atlanta,10/07/2013,5.0,Bill Leavy,New York Jets 30 @ Atlanta Falcons 28,6,24,2,10,4,14,0,0
Pittsburgh,10/13/2013,6.0,Terry McAulay,Pittsburgh Steelers 19 @ New York Jets 6,5,60,1,10,2,40,2,10
New England,10/20/2013,7.0,Jerome Boger,New England Patriots 27 @ New York Jets 30,9,45,3,20,6,25,0,0
Cincinnati,10/27/2013,8.0,Pete Morelli,New York Jets 9 @ Cincinnati Bengals 49,4,69,2,25,1,34,1,10
New Orleans,11/03/2013,9.0,Clete Blakeman,New Orleans Saints 20 @ New York Jets 26,8,62,3,17,5,45,0,0
Buffalo,11/17/2013,11.0,Bill Leavy,New York Jets 14 @ Buffalo Bills 37,4,24,2,15,0,0,2,9
Baltimore,11/24/2013,12.0,Jeff Triplette,New York Jets 3 @ Baltimore Ravens 19,6,56,3,21,2,20,1,15
Miami,12/01/2013,13.0,Mike Carey,Miami Dolphins 23 @ New York Jets 3,4,25,1,10,2,10,1,5
Oakland,12/08/2013,14.0,Gene Steratore,Oakland Raiders 27 @ New York Jets 37,4,36,1,5,3,31,0,0
Carolina,12/15/2013,15.0,Terry McAulay,New York Jets 20 @ Carolina Panthers 30,3,20,2,15,0,0,1,5
Cleveland,12/22/2013,16.0,Pete Morelli,Cleveland Browns 13 @ New York Jets 24,6,35,2,20,4,15,0,0
Miami,12/29/2013,17.0,Jerome Boger,New York Jets 20 @ Miami Dolphins 7,5,36,2,15,2,16,1,5
Totals,,,,,108,837,50,364,46,389,12,84
