Opponent,Date,Week,Ref Crew,Outcome,Total Count,Total Yards,Off Count,Off Yards,Def Count,Def Yards,ST Count,ST Yards
Buffalo,09/11/2023,1.0,Carl Cheffers,Buffalo Bills 16 @ New York Jets 22,2,10,2,10,0,0,0,0
Dallas,09/17/2023,2.0,Clete Blakeman,New York Jets 10 @ Dallas Cowboys 30,5,29,2,10,3,19,0,0
New England,09/24/2023,3.0,Bill Vinovich,New England Patriots 15 @ New York Jets 10,3,15,2,10,0,0,1,5
Kansas City,10/01/2023,4.0,Alex Kemp,Kansas City Chiefs 23 @ New York Jets 20,7,42,2,10,5,32,0,0
Denver,10/08/2023,5.0,John Hussey,New York Jets 31 @ Denver Broncos 21,9,71,4,30,5,41,0,0
Philadelphia,10/15/2023,6.0,Scott Novak,Philadelphia Eagles 14 @ New York Jets 20,9,68,4,35,3,23,2,10
N.Y. Giants,10/29/2023,8.0,Shawn Smith,New York Jets 13 @ New York Giants 10,9,85,3,25,5,55,1,5
LA Chargers,11/06/2023,9.0,Craig Wrolstad,Los Angeles Chargers 27 @ New York Jets 6,8,40,5,35,3,5,0,0
Las Vegas,11/12/2023,10.0,Shawn Hochuli,New York Jets 12 @ Las Vegas Raiders 16,8,83,7,68,1,15,0,0
Buffalo,11/19/2023,11.0,Alan Eck,New York Jets 6 @ Buffalo Bills 32,5,35,1,5,4,30,0,0
Miami,11/24/2023,12.0,John Hussey,Miami Dolphins 34 @ New York Jets 13,6,60,3,15,2,30,1,15
Atlanta,12/03/2023,13.0,Ron Torbert,Atlanta Falcons 13 @ New York Jets 8,11,71,5,26,4,20,2,25
Houston,12/10/2023,14.0,Brad Allen,Houston Texans 6 @ New York Jets 30,8,52,4,30,3,17,1,5
Miami,12/17/2023,15.0,Brad Rogers,New York Jets 0 @ Miami Dolphins 30,7,55,4,30,3,25,0,0
Washington,12/24/2023,16.0,Clay Martin,Washington Commanders 28 @ New York Jets 30,14,150,9,90,4,55,1,5
Cleveland,12/28/2023,17.0,Alex Kemp,New York Jets 20 @ Cleveland Browns 37,12,74,8,44,3,25,1,5
New England,01/07/2024,18.0,Land Clark,New York Jets 17 @ New England Patriots 3,1,5,0,0,0,0,1,5
Totals,,,,,124,945,65,473,48,392,11,80
