Opponent,Date,Week,Ref Crew,Outcome,Total Count,Total Yards,Off Count,Off Yards,Def Count,Def Yards,ST Count,ST Yards
N.Y. Giants,09/11/2022,1.0,Jerome Boger,New York Giants 21 @ Tennessee Titans 20,7,50,5,35,1,5,1,10
Buffalo,09/19/2022,2.0,Shawn Smith,Tennessee Titans 7 @ Buffalo Bills 41,9,87,2,25,5,42,2,20
Las Vegas,09/25/2022,3.0,Brad Rogers,Las Vegas Raiders 22 @ Tennessee Titans 24,7,85,3,20,3,55,1,10
Indianapolis,10/02/2022,4.0,Scott Novak,Tennessee Titans 24 @ Indianapolis Colts 17,6,40,3,20,2,10,1,10
Washington,10/09/2022,5.0,Land Clark,Tennessee Titans 21 @ Washington Commanders 17,8,69,6,40,2,29,0,0
Indianapolis,10/23/2022,7.0,Ron Torbert,Indianapolis Colts 10 @ Tennessee Titans 19,2,15,1,5,0,0,1,10
Houston,10/30/2022,8.0,Clay Martin,Tennessee Titans 17 @ Houston Texans 10,6,35,5,30,1,5,0,0
Kansas City,11/06/2022,9.0,Clete Blakeman,Tennessee Titans 17 @ Kansas City Chiefs 20,8,51,4,30,3,11,1,10
Denver,11/13/2022,10.0,Scott Novak,Denver Broncos 10 @ Tennessee Titans 17,9,60,2,15,6,40,1,5
Green Bay,11/17/2022,11.0,Bill Vinovich,Tennessee Titans 27 @ Green Bay Packers 17,2,20,0,0,0,0,2,20
Cincinnati,11/27/2022,12.0,Carl Cheffers,Cincinnati Bengals 20 @ Tennessee Titans 16,8,57,3,20,2,20,3,17
Philadelphia,12/04/2022,13.0,Adrian Hill,Tennessee Titans 10 @ Philadelphia Eagles 35,7,82,3,25,3,54,1,3
Jacksonville,12/11/2022,14.0,Clay Martin,Jacksonville Jaguars 36 @ Tennessee Titans 22,5,50,3,27,2,23,0,0
LA Chargers,12/18/2022,15.0,Land Clark,Tennessee Titans 14 @ Los Angeles Chargers 17,6,62,4,42,2,20,0,0
Houston,12/24/2022,16.0,Shawn Smith,Houston Texans 19 @ Tennessee Titans 14,5,30,3,20,2,10,0,0
Dallas,12/29/2022,17.0,Shawn Hochuli,Dallas Cowboys 27 @ Tennessee Titans 13,10,124,3,20,6,99,1,5
Jacksonville,01/07/2023,18.0,Bill Vinovich,Tennessee Titans 16 @ Jacksonville Jaguars 20,6,40,5,35,1,5,0,0
Totals,,,,,111,957,55,409,41,428,15,120
