Opponent,Date,Week,Ref Crew,Outcome,Total Count,Total Yards,Off Count,Off Yards,Def Count,Def Yards,ST Count,ST Yards
LA Rams,09/08/2022,1,Carl Cheffers,Buffalo Bills 31 @ Los Angeles Rams 10,5,35,2,10,3,25,0,0
Tennessee,09/19/2022,2,Shawn Smith,Tennessee Titans 7 @ Buffalo Bills 41,8,49,3,15,4,30,1,4
Miami,09/25/2022,3,Alex Kemp,Buffalo Bills 19 @ Miami Dolphins 21,7,52,3,30,4,22,0,0
Baltimore,10/02/2022,4,Jerome Boger,Buffalo Bills 23 @ Baltimore Ravens 20,4,31,2,9,2,22,0,0
Pittsburgh,10/09/2022,5,John Hussey,Pittsburgh Steelers 3 @ Buffalo Bills 38,5,28,3,16,2,12,0,0
Kansas City,10/16/2022,6,Brad Allen,Buffalo Bills 24 @ Kansas City Chiefs 20,7,35,2,12,4,20,1,3
Green Bay,10/30/2022,8,Ron Torbert,Green Bay Packers 17 @ Buffalo Bills 27,4,35,2,25,2,10,0,0
N.Y. Jets,11/06/2022,9,Land Clark,Buffalo Bills 17 @ New York Jets 20,3,30,1,10,2,20,0,0
Minnesota,11/13/2022,10,Craig Wrolstad,Minnesota Vikings 33 @ Buffalo Bills 30,7,64,3,25,3,34,1,5
Cleveland,11/20/2022,11,Adrian Hill,Cleveland Browns 23 @ Buffalo Bills 31,8,89,2,20,6,69,0,0
Detroit,11/24/2022,12,Clete Blakeman,Buffalo Bills 28 @ Detroit Lions 25,5,36,1,10,4,26,0,0
New England,12/01/2022,13,Shawn Hochuli,Buffalo Bills 24 @ New England Patriots 10,6,47,4,35,2,12,0,0
N.Y. Jets,12/11/2022,14,Alex Kemp,New York Jets 12 @ Buffalo Bills 20,5,35,5,35,0,0,0,0
Miami,12/17/2022,15,Bill Vinovich,Miami Dolphins 29 @ Buffalo Bills 32,7,51,3,20,2,9,2,22
Chicago,12/24/2022,16,Carl Cheffers,Buffalo Bills 35 @ Chicago Bears 13,9,72,5,40,2,12,2,20
New England,01/08/2023,18,Clay Martin,New England Patriots 23 @ Buffalo Bills 35,2,20,1,15,1,5,0,0
Miami,01/15/2023,Wildcard Weekend,Brad Allen,Miami Dolphins 31 @ Buffalo Bills 34,2,13,1,5,1,8,0,0
Cincinnati,01/22/2023,Divisional Playoffs,Carl Cheffers,Cincinnati Bengals 27 @ Buffalo Bills 10,8,60,2,15,5,35,1,10
Totals,,,,,102,782,45,347,49,371,8,64
