Opponent,Date,Week,Ref Crew,Outcome,Total Count,Total Yards,Off Count,Off Yards,Def Count,Def Yards,ST Count,ST Yards
Pittsburgh,09/09/2012,1,Gerald Wright,Pittsburgh Steelers 19 @ Denver Broncos 31,6,49,1,5,5,44,0,0
Atlanta,09/17/2012,2,Kent Roan,Denver Broncos 21 @ Atlanta Falcons 27,10,96,5,38,5,58,0,0
Houston,09/23/2012,3,Jerry Frump,Houston Texans 31 @ Denver Broncos 25,7,75,2,15,3,35,2,25
Oakland,09/30/2012,4,Pete Morelli,Oakland Raiders 6 @ Denver Broncos 37,4,30,3,15,1,15,0,0
New England,10/07/2012,5,Gene Steratore,Denver Broncos 21 @ New England Patriots 31,4,21,0,0,4,21,0,0
San Diego,10/15/2012,6,Jeff Triplette,Denver Broncos 35 @ San Diego Chargers 24,10,81,4,36,5,35,1,10
New Orleans,10/28/2012,8,Mike Carey,New Orleans Saints 14 @ Denver Broncos 34,5,34,2,20,1,5,2,9
Cincinnati,11/04/2012,9,Scott Green,Denver Broncos 31 @ Cincinnati Bengals 23,5,29,2,14,2,10,1,5
Carolina,11/11/2012,10,Al Riveron,Denver Broncos 36 @ Carolina Panthers 14,7,60,2,15,5,45,0,0
San Diego,11/18/2012,11,Carl Cheffers,San Diego Chargers 23 @ Denver Broncos 30,4,30,2,10,1,5,1,15
Kansas City,11/25/2012,12,Jerome Boger,Denver Broncos 17 @ Kansas City Chiefs 9,4,35,1,10,3,25,0,0
Tampa Bay,12/02/2012,13,Terry McAulay,Tampa Bay Buccaneers 23 @ Denver Broncos 31,8,75,3,30,5,45,0,0
Oakland,12/06/2012,14,Clete Blakeman,Denver Broncos 26 @ Oakland Raiders 13,3,25,1,10,1,5,1,10
Baltimore,12/16/2012,15,Pete Morelli,Denver Broncos 34 @ Baltimore Ravens 17,7,51,2,15,3,26,2,10
Cleveland,12/23/2012,16,Al Riveron,Cleveland Browns 12 @ Denver Broncos 34,11,84,8,45,3,39,0,0
Kansas City,12/30/2012,17,Ed Hochuli,Kansas City Chiefs 3 @ Denver Broncos 38,5,30,2,10,2,10,1,10
Baltimore,01/12/2013,Divisional Playoffs,Bill Vinovich,Baltimore Ravens 38 @ Denver Broncos 35,10,87,4,34,6,53,0,0
Totals,,,,,110,892,44,322,55,476,11,94
