Opponent,Date,Week,Ref Crew,Outcome,Total Count,Total Yards,Off Count,Off Yards,Def Count,Def Yards,ST Count,ST Yards
Kansas City,09/13/2009,1,Gene Steratore,Kansas City Chiefs 24 @ Baltimore Ravens 38,8,65,4,29,2,18,2,18
San Diego,09/20/2009,2,Tony Corrente,Baltimore Ravens 31 @ San Diego Chargers 26,4,32,1,5,2,12,1,15
Cleveland,09/27/2009,3,Terry McAulay,Cleveland Browns 3 @ Baltimore Ravens 34,8,84,3,26,2,40,3,18
New England,10/04/2009,4,Ron Winter,Baltimore Ravens 21 @ New England Patriots 27,9,85,4,30,4,50,1,5
Cincinnati,10/11/2009,5,Jeff Triplette,Cincinnati Bengals 17 @ Baltimore Ravens 14,10,76,3,30,6,41,1,5
Minnesota,10/18/2009,6,Mike Carey,Baltimore Ravens 31 @ Minnesota Vikings 33,6,74,3,15,1,39,2,20
Denver,11/01/2009,8,Walt Coleman,Denver Broncos 7 @ Baltimore Ravens 30,8,94,4,45,3,44,1,5
Cincinnati,11/08/2009,9,Al Riveron,Baltimore Ravens 7 @ Cincinnati Bengals 17,7,80,3,25,2,36,2,19
Cleveland,11/16/2009,10,Carl Cheffers,Baltimore Ravens 16 @ Cleveland Browns 0,7,43,4,28,2,10,1,5
Indianapolis,11/22/2009,11,John Parry,Indianapolis Colts 17 @ Baltimore Ravens 15,2,20,1,5,1,15,0,0
Pittsburgh,11/29/2009,12,Ed Hochuli,Pittsburgh Steelers 17 @ Baltimore Ravens 20,9,80,3,25,2,10,4,45
Green Bay,12/07/2009,13,Walt Anderson,Baltimore Ravens 14 @ Green Bay Packers 27,12,135,5,30,7,105,0,0
Detroit,12/13/2009,14,Don Carey,Detroit Lions 3 @ Baltimore Ravens 48,5,50,2,15,2,30,1,5
Chicago,12/20/2009,15,Bill Leavy,Chicago Bears 7 @ Baltimore Ravens 31,4,26,2,6,2,20,0,0
Pittsburgh,12/27/2009,16,Pete Morelli,Baltimore Ravens 20 @ Pittsburgh Steelers 23,11,113,5,45,5,53,1,15
Oakland,01/03/2010,17,Tony Corrente,Baltimore Ravens 21 @ Oakland Raiders 13,5,37,1,5,3,22,1,10
New England,01/10/2010,Wildcard Weekend,Gene Steratore,Baltimore Ravens 33 @ New England Patriots 14,3,15,1,5,2,10,0,0
Indianapolis,01/16/2010,Divisional Playoffs,Carl Cheffers,Baltimore Ravens 3 @ Indianapolis Colts 20,7,64,3,20,3,37,1,7
Totals,,,,,125,1173,52,389,51,592,22,192
